,Date,Destination,Rolling Week Avg,Rolling Week Total
189,2021-01-10,Perth,87606.42857142857,613245.0
190,2021-01-11,Perth,89959.71428571429,629718.0
191,2021-01-12,Perth,90146.14285714286,631023.0
192,2021-01-13,Perth,98592.42857142857,690147.0
193,2021-01-14,Perth,106718.85714285714,747032.0
194,2021-01-15,Perth,106131.85714285714,742923.0
195,2021-01-16,Perth,113722.71428571429,796059.0
196,2021-01-17,Perth,112111.71428571429,784782.0
197,2021-01-18,Perth,110305.0,772135.0
198,2021-01-19,Perth,102357.85714285714,716505.0
199,2021-01-20,Perth,94406.85714285714,660848.0
200,2021-01-21,Perth,85412.85714285714,597890.0
201,2021-01-22,Perth,84210.14285714286,589471.0
202,2021-01-23,Perth,86172.42857142857,603207.0
203,2021-01-24,Perth,89161.57142857143,624131.0
204,2021-01-25,Perth,99480.57142857143,696364.0
205,2021-01-26,Perth,100496.14285714286,703473.0
206,2021-01-27,Perth,97143.57142857143,680005.0
207,2021-01-28,Perth,102421.0,716947.0
208,2021-01-29,Perth,107630.71428571429,753415.0
209,2021-01-30,Perth,105303.42857142857,737124.0
210,2021-01-31,Perth,103311.85714285714,723183.0
211,2021-02-01,Perth,90606.0,634242.0
212,2021-02-02,Perth,97039.57142857143,679277.0
213,2021-02-03,Perth,108391.42857142857,758740.0
214,2021-02-04,Perth,104562.14285714286,731935.0
215,2021-02-05,Perth,107928.57142857143,755500.0
216,2021-02-06,Perth,107826.0,754782.0
217,2021-02-07,Perth,112861.71428571429,790032.0
218,2021-02-08,Perth,117607.71428571429,823254.0
219,2021-02-09,Perth,107207.0,750449.0
220,2021-02-10,Perth,107074.0,749518.0
221,2021-02-11,Perth,107830.28571428571,754812.0
222,2021-02-12,Perth,99174.71428571429,694223.0
223,2021-02-13,Perth,102380.57142857143,716664.0
224,2021-02-14,Perth,96870.42857142857,678093.0
225,2021-02-15,Perth,102037.14285714286,714260.0
226,2021-02-16,Perth,99006.0,693042.0
227,2021-02-17,Perth,99049.57142857143,693347.0
228,2021-02-18,Perth,105941.85714285714,741593.0
229,2021-02-19,Perth,102599.71428571429,718198.0
230,2021-02-20,Perth,93885.57142857143,657199.0
231,2021-02-21,Perth,91442.57142857143,640098.0
232,2021-02-22,Perth,88135.28571428571,616947.0
233,2021-02-23,Perth,97456.28571428571,682194.0
234,2021-02-24,Perth,95171.28571428571,666199.0
235,2021-02-25,Perth,94389.85714285714,660729.0
236,2021-02-26,Perth,99178.85714285714,694252.0
237,2021-02-27,Perth,111077.28571428571,777541.0
238,2021-02-28,Perth,116719.57142857143,817037.0
239,2021-03-01,Perth,112910.42857142857,790373.0
240,2021-03-02,Perth,117341.71428571429,821392.0
241,2021-03-03,Perth,113612.71428571429,795289.0
242,2021-03-04,Perth,109054.14285714286,763379.0
243,2021-03-05,Perth,107031.71428571429,749222.0
244,2021-03-06,Perth,99496.57142857143,696476.0
245,2021-03-07,Perth,102359.85714285714,716519.0
246,2021-03-08,Perth,109140.85714285714,763986.0
247,2021-03-09,Perth,99735.14285714286,698146.0
248,2021-03-10,Perth,93087.57142857143,651613.0
249,2021-03-11,Perth,98413.0,688891.0
250,2021-03-12,Perth,108906.57142857143,762346.0
251,2021-03-13,Perth,115747.0,810229.0
252,2021-03-14,Perth,113777.57142857143,796443.0
253,2021-03-15,Perth,110608.42857142857,774259.0
254,2021-03-16,Perth,109696.57142857143,767876.0
255,2021-03-17,Perth,113998.28571428571,797988.0
256,2021-03-18,Perth,105232.85714285714,736630.0
257,2021-03-19,Perth,99109.57142857143,693767.0
258,2021-03-20,Perth,89889.42857142857,629226.0
259,2021-03-21,Perth,86938.14285714286,608567.0
260,2021-03-22,Perth,93030.57142857143,651214.0
261,2021-03-23,Perth,93621.57142857143,655351.0
262,2021-03-24,Perth,97477.28571428571,682341.0
263,2021-03-25,Perth,102665.28571428571,718657.0
264,2021-03-26,Perth,100450.14285714286,703151.0
265,2021-03-27,Perth,100556.42857142857,703895.0
266,2021-03-28,Perth,102836.42857142857,719855.0
267,2021-03-29,Perth,95822.16666666667,574933.0
268,2021-03-30,Perth,98884.2,494421.0
269,2021-03-31,Perth,94148.0,376592.0
0,2021-01-01,All,1945312.0,486328.0
1,2021-01-02,All,2434642.0,486928.4
2,2021-01-03,All,2876241.0,479373.5
3,2021-01-04,All,3240012.0,462858.85714285716
4,2021-01-05,All,3114034.0,444862.0
5,2021-01-06,All,3156950.0,450992.85714285716
6,2021-01-07,All,3222726.0,460389.4285714286
7,2021-01-08,All,3235848.0,462264.0
8,2021-01-09,All,3227462.0,461066.0
9,2021-01-10,All,3250760.0,464394.28571428574
10,2021-01-11,All,3379933.0,482847.5714285714
11,2021-01-12,All,3374320.0,482045.71428571426
12,2021-01-13,All,3409322.0,487046.0
13,2021-01-14,All,3411840.0,487405.71428571426
14,2021-01-15,All,3359350.0,479907.14285714284
15,2021-01-16,All,3290316.0,470045.14285714284
16,2021-01-17,All,3201481.0,457354.4285714286
17,2021-01-18,All,3124391.0,446341.5714285714
18,2021-01-19,All,2992924.0,427560.5714285714
19,2021-01-20,All,2901332.0,414476.0
20,2021-01-21,All,2789592.0,398513.14285714284
21,2021-01-22,All,2849705.0,407100.71428571426
22,2021-01-23,All,2999017.0,428431.0
23,2021-01-24,All,3119782.0,445683.14285714284
24,2021-01-25,All,3180511.0,454358.71428571426
25,2021-01-26,All,3349392.0,478484.5714285714
26,2021-01-27,All,3427812.0,489687.4285714286
27,2021-01-28,All,3568304.0,509757.71428571426
28,2021-01-29,All,3561571.0,508795.85714285716
29,2021-01-30,All,3399829.0,485689.85714285716
30,2021-01-31,All,3280789.0,468684.14285714284
31,2021-02-01,All,3139609.0,448515.5714285714
32,2021-02-02,All,3151653.0,450236.14285714284
33,2021-02-03,All,3171982.0,453140.28571428574
34,2021-02-04,All,3046544.0,435220.5714285714
35,2021-02-05,All,3001555.0,428793.5714285714
36,2021-02-06,All,3057924.0,436846.28571428574
37,2021-02-07,All,3100903.0,442986.14285714284
38,2021-02-08,All,3180816.0,454402.28571428574
39,2021-02-09,All,3120621.0,445803.0
40,2021-02-10,All,3075541.0,439363.0
41,2021-02-11,All,3020313.0,431473.28571428574
42,2021-02-12,All,2901150.0,414450.0
43,2021-02-13,All,2962785.0,423255.0
44,2021-02-14,All,2960719.0,422959.85714285716
45,2021-02-15,All,2914368.0,416338.28571428574
46,2021-02-16,All,2866329.0,409475.5714285714
47,2021-02-17,All,2929780.0,418540.0
48,2021-02-18,All,3069955.0,438565.0
49,2021-02-19,All,3116338.0,445191.14285714284
50,2021-02-20,All,3017266.0,431038.0
51,2021-02-21,All,3101090.0,443012.85714285716
52,2021-02-22,All,3165358.0,452194.0
53,2021-02-23,All,3337218.0,476745.4285714286
54,2021-02-24,All,3169873.0,452839.0
55,2021-02-25,All,3102606.0,443229.4285714286
56,2021-02-26,All,3262553.0,466079.0
57,2021-02-27,All,3261457.0,465922.4285714286
58,2021-02-28,All,3246014.0,463716.28571428574
59,2021-03-01,All,3311816.0,473116.5714285714
60,2021-03-02,All,3268792.0,466970.28571428574
61,2021-03-03,All,3426898.0,489556.85714285716
62,2021-03-04,All,3431551.0,490221.5714285714
63,2021-03-05,All,3336504.0,476643.4285714286
64,2021-03-06,All,3449534.0,492790.5714285714
65,2021-03-07,All,3461650.0,494521.4285714286
66,2021-03-08,All,3460129.0,494304.14285714284
67,2021-03-09,All,3369472.0,481353.14285714284
68,2021-03-10,All,3246917.0,463845.28571428574
69,2021-03-11,All,3232183.0,461740.4285714286
70,2021-03-12,All,3338321.0,476903.0
71,2021-03-13,All,3275424.0,467917.71428571426
72,2021-03-14,All,3128319.0,446902.71428571426
73,2021-03-15,All,3089094.0,441299.14285714284
74,2021-03-16,All,3051468.0,435924.0
75,2021-03-17,All,3008297.0,429756.71428571426
76,2021-03-18,All,3017353.0,431050.4285714286
77,2021-03-19,All,2830078.0,404296.85714285716
78,2021-03-20,All,2720551.0,388650.14285714284
79,2021-03-21,All,2812500.0,401785.71428571426
80,2021-03-22,All,2878530.0,411218.5714285714
81,2021-03-23,All,2808448.0,401206.85714285716
82,2021-03-24,All,2868250.0,409750.0
83,2021-03-25,All,2930202.0,418600.28571428574
84,2021-03-26,All,2990018.0,427145.4285714286
85,2021-03-27,All,3075105.0,439300.71428571426
86,2021-03-28,All,3122361.0,446051.5714285714
87,2021-03-29,All,2598042.0,433007.0
88,2021-03-30,All,2251226.0,450245.2
89,2021-03-31,All,1838180.0,459545.0
