,Name,Open Play Goals,Goals with right foot,Goals with left foot,Appearances,Total Goals,Headed goals,Open Play Goals/Game,Position,Rank by Position
49,Nathaniel Clyne,0.0,0.0,0.0,58,0,0.0,0.0,Defender,2
50,Kevin Long,0.0,0.0,0.0,17,0,0.0,0.0,Defender,2
51,Kieran Gibbs,0.0,0.0,1.0,26,1,0.0,0.0,Defender,2
52,Kieran Tierney,0.0,0.0,1.0,15,1,0.0,0.0,Defender,2
53,Kieran Trippier,0.0,1.0,0.0,63,1,0.0,0.0,Defender,2
54,Kieron Freeman,0.0,0.0,0.0,2,0,0.0,0.0,Defender,2
55,Kiko Femenía,0.0,1.0,0.0,23,1,0.0,0.0,Defender,2
56,Konstantinos Mavropanos,0.0,0.0,0.0,7,0,0.0,0.0,Defender,2
57,Kurt Zouma,0.0,0.0,0.0,126,4,4.0,0.0,Defender,2
58,Kyle Bartley,0.0,0.0,0.0,10,0,0.0,0.0,Defender,2
59,Kyle Naughton,0.0,1.0,0.0,31,1,0.0,0.0,Defender,2
60,Kyle Walker,0.0,2.0,1.0,128,3,0.0,0.0,Defender,2
61,Kyle Walker-Peters,0.0,0.0,0.0,13,0,0.0,0.0,Defender,2
62,Laurent Koscielny,0.0,1.0,0.0,25,2,1.0,0.0,Defender,2
63,Leighton Baines,0.0,0.0,2.0,46,2,0.0,0.0,Defender,2
64,Leon Balogun,0.0,1.0,0.0,8,1,0.0,0.0,Defender,2
65,Kevin Mbabu,0.0,0.0,0.0,3,0,0.0,0.0,Defender,2
66,Neil Taylor,0.0,0.0,0.0,14,0,0.0,0.0,Defender,2
67,Nicolás Otamendi,0.0,1.0,0.0,54,3,2.0,0.0,Defender,2
68,Oleksandr Zinchenko,0.0,0.0,0.0,33,0,0.0,0.0,Defender,2
69,Sokratis,0.0,2.0,0.0,19,2,0.0,0.0,Defender,2
70,Sol Bamba,0.0,3.0,1.0,28,4,0.0,0.0,Defender,2
71,Stephan Lichtsteiner,0.0,0.0,0.0,14,0,0.0,0.0,Defender,2
72,Stephen Kingsley,0.0,0.0,0.0,4,0,0.0,0.0,Defender,2
73,Stephen Ward,0.0,0.0,1.0,31,1,0.0,0.0,Defender,2
74,Steve Cook,0.0,2.0,0.0,96,6,4.0,0.0,Defender,2
75,Steven Caulker,0.0,0.0,0.0,6,0,0.0,0.0,Defender,2
76,Steven Taylor,0.0,0.0,0.0,10,0,0.0,0.0,Defender,2
77,Sylvain Distin,0.0,0.0,0.0,12,0,0.0,0.0,Defender,2
78,Séamus Coleman,0.0,1.0,2.0,93,5,3.0,0.0,Defender,2
79,Tariq Lamptey,0.0,0.0,0.0,9,0,0.0,0.0,Defender,2
80,Terence Kongolo,0.0,0.0,0.0,45,1,1.0,0.0,Defender,2
81,Tim Ream,0.0,0.0,0.0,26,0,0.0,0.0,Defender,2
82,Timm Klose,0.0,0.0,0.0,17,1,1.0,0.0,Defender,2
83,Simon Francis,0.0,0.0,0.0,32,0,0.0,0.0,Defender,2
84,Timothy Fosu-Mensah,0.0,0.0,0.0,20,0,0.0,0.0,Defender,2
85,Tommy Elphick,0.0,0.0,0.0,12,1,1.0,0.0,Defender,2
86,Trent Alexander-Arnold,0.0,6.0,0.0,93,6,0.0,0.0,Defender,2
87,Tyrick Mitchell,0.0,0.0,0.0,4,0,0.0,0.0,Defender,2
88,Tyrone Mings,0.0,0.0,0.0,16,0,0.0,0.0,Defender,2
89,Victor Lindelöf,0.0,0.0,1.0,82,2,1.0,0.0,Defender,2
90,Vincent Kompany,0.0,1.0,0.0,48,4,3.0,0.0,Defender,2
91,Virgil van Dijk,0.0,0.0,3.0,136,12,9.0,0.0,Defender,2
92,Wes Morgan,0.0,1.0,0.0,108,3,2.0,0.0,Defender,2
93,Wesley Hoedt,0.0,0.0,0.0,41,0,0.0,0.0,Defender,2
94,Willy Boly,0.0,0.0,0.0,22,0,0.0,0.0,Defender,2
95,Winston Reid,0.0,0.0,0.0,41,1,1.0,0.0,Defender,2
96,Yan Valery,0.0,1.0,1.0,34,2,0.0,0.0,Defender,2
97,Yohan Benalouane,0.0,0.0,0.0,11,0,0.0,0.0,Defender,2
98,Younes Kaboul,0.0,2.0,0.0,48,2,0.0,0.0,Defender,2
99,Toby Alderweireld,0.0,2.0,1.0,149,7,4.0,0.0,Defender,2
100,Shkodran Mustafi,0.0,1.0,0.0,99,7,6.0,0.0,Defender,2
101,Shane Duffy,0.0,1.0,1.0,72,5,3.0,0.0,Defender,2
102,Serge Aurier,0.0,1.0,1.0,58,3,1.0,0.0,Defender,2
103,Omar Elabdellaoui,0.0,0.0,0.0,8,0,0.0,0.0,Defender,2
104,Pablo Marí,0.0,0.0,0.0,2,0,0.0,0.0,Defender,2
105,Pablo Zabaleta,0.0,0.0,0.0,49,0,0.0,0.0,Defender,2
106,Pape Souaré,0.0,0.0,0.0,5,0,0.0,0.0,Defender,2
107,Papy Djilobodji,0.0,0.0,0.0,18,0,0.0,0.0,Defender,2
108,Patrick van Aanholt,0.0,2.0,13.0,130,15,0.0,0.0,Defender,2
109,Paul Dummett,0.0,0.0,1.0,59,1,0.0,0.0,Defender,2
110,Per Mertesacker,0.0,0.0,0.0,7,1,1.0,0.0,Defender,2
111,Phil Bardsley,0.0,0.0,0.0,45,0,0.0,0.0,Defender,2
112,Phil Jagielka,0.0,1.0,0.0,34,1,0.0,0.0,Defender,2
113,Philipp Wollscheid,0.0,0.0,0.0,2,0,0.0,0.0,Defender,2
114,Ragnar Klavan,0.0,0.0,0.0,19,1,1.0,0.0,Defender,2
115,Ramiro Funes Mori,0.0,1.0,1.0,55,4,2.0,0.0,Defender,2
116,Ricardo Pereira,0.0,3.0,2.0,63,5,0.0,0.0,Defender,2
117,Ritchie de Laet,0.0,1.0,0.0,12,1,0.0,0.0,Defender,2
118,Rob Holding,0.0,0.0,0.0,10,0,0.0,0.0,Defender,2
119,Robert Huth,0.0,0.0,0.0,33,2,2.0,0.0,Defender,2
120,Sebastián Coates,0.0,0.0,0.0,16,0,0.0,0.0,Defender,2
121,Sebastien Bassong,0.0,0.0,1.0,32,1,0.0,0.0,Defender,2
122,Sebastian Prödl,0.0,0.0,1.0,75,3,2.0,0.0,Defender,2
123,Sead Kolasinac,0.0,0.0,2.0,51,2,0.0,0.0,Defender,2
124,Scott Malone,0.0,0.0,0.0,22,0,0.0,0.0,Defender,2
125,Scott Dann,0.0,1.0,2.0,52,6,3.0,0.0,Defender,2
126,Jon Flanagan,0.0,0.0,0.0,5,0,0.0,0.0,Defender,2
127,Sam McQueen,0.0,0.0,0.0,20,0,0.0,0.0,Defender,2
128,Rúben Vinagre,0.0,0.0,0.0,33,0,0.0,0.0,Defender,2
129,Ryan Shawcross,0.0,0.0,1.0,35,1,0.0,0.0,Defender,2
130,Ryan Fredericks,0.0,1.0,0.0,15,1,0.0,0.0,Defender,2
131,Ryan Bertrand,0.0,1.0,2.0,123,3,0.0,0.0,Defender,2
132,Ryan Bennett,0.0,0.0,0.0,16,0,0.0,0.0,Defender,2
133,Russell Martin,0.0,2.0,1.0,30,3,0.0,0.0,Defender,2
134,Sam Byram,0.0,0.0,0.0,21,0,0.0,0.0,Defender,2
135,Joleon Lescott,0.0,0.0,1.0,32,1,0.0,0.0,Defender,2
136,John Terry,0.0,1.0,1.0,33,2,0.0,0.0,Defender,2
137,John Stones,0.0,0.0,0.0,61,0,0.0,0.0,Defender,2
138,Branislav Ivanovic,0.0,0.0,0.0,33,2,2.0,0.0,Defender,2
139,Bruno,0.0,0.0,0.0,39,0,0.0,0.0,Defender,2
140,Bruno Ecuele Manga,0.0,0.0,0.0,38,0,0.0,0.0,Defender,2
141,Bruno Martins Indi,0.0,0.0,1.0,52,1,0.0,0.0,Defender,2
142,Bryan Oviedo,0.0,0.0,0.0,14,0,0.0,0.0,Defender,2
143,Callum Connolly,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
144,Calum Chambers,0.0,1.0,0.0,14,1,0.0,0.0,Defender,2
145,Cameron Borthwick-Jackson,0.0,0.0,0.0,10,0,0.0,0.0,Defender,2
146,Carl Jenkinson,0.0,1.0,1.0,21,2,0.0,0.0,Defender,2
147,Charlie Daniels,0.0,0.0,8.0,129,9,1.0,0.0,Defender,2
148,Chris Basham,0.0,0.0,0.0,38,0,0.0,0.0,Defender,2
149,Chris Löwe,0.0,0.0,0.0,52,0,0.0,0.0,Defender,2
150,Chris Mepham,0.0,1.0,0.0,25,1,0.0,0.0,Defender,2
151,Chris Smalling,0.0,1.0,2.0,71,6,3.0,0.0,Defender,2
152,Björn Engels,0.0,0.0,0.0,17,1,1.0,0.0,Defender,2
153,Christian Fuchs,0.0,0.0,0.0,32,0,0.0,0.0,Defender,2
154,Christoph Zimmermann,0.0,0.0,0.0,17,0,0.0,0.0,Defender,2
155,Christopher Schindler,0.0,0.0,0.0,74,1,1.0,0.0,Defender,2
156,Ciaran Clark,0.0,0.0,0.0,49,6,6.0,0.0,Defender,2
157,Connor Randall,0.0,0.0,0.0,3,0,0.0,0.0,Defender,2
158,Conor Coady,0.0,0.0,0.0,76,0,0.0,0.0,Defender,2
159,Craig Cathcart,0.0,0.0,0.0,87,3,3.0,0.0,Defender,2
160,Craig Dawson,0.0,1.0,0.0,57,4,3.0,0.0,Defender,2
161,Cristian Gamboa,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
162,Cuco Martina,0.0,0.0,0.0,30,0,0.0,0.0,Defender,2
163,Cyrus Christie,0.0,0.0,0.0,28,0,0.0,0.0,Defender,2
164,Cédric Soares,0.0,1.0,0.0,74,1,0.0,0.0,Defender,2
165,César Azpilicueta,0.0,3.0,0.0,73,4,1.0,0.0,Defender,2
166,Daley Blind,0.0,0.0,1.0,35,1,0.0,0.0,Defender,2
167,Damien Delaney,0.0,1.0,0.0,64,2,1.0,0.0,Defender,2
168,Christian Kabasele,0.0,0.0,0.0,49,2,2.0,0.0,Defender,2
169,Bernardo Espinosa,0.0,0.0,0.0,11,0,0.0,0.0,Defender,2
170,Ben Wilmot,0.0,0.0,0.0,2,0,0.0,0.0,Defender,2
171,Ben Mee,0.0,1.0,0.0,72,1,0.0,0.0,Defender,2
172,Aaron Wan-Bissaka,0.0,0.0,0.0,77,0,0.0,0.0,Defender,2
173,Abdul Rahman Baba,0.0,0.0,0.0,15,0,0.0,0.0,Defender,2
174,Adam Masina,0.0,0.0,0.0,14,0,0.0,0.0,Defender,2
175,Adam Matthews,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
176,Adam Smith,0.0,2.0,1.0,112,3,0.0,0.0,Defender,2
177,Adam Webster,0.0,1.0,0.0,31,3,2.0,0.0,Defender,2
178,Adrian Mariappa,0.0,0.0,0.0,81,0,0.0,0.0,Defender,2
179,Ahmed El Mohamady,0.0,0.0,0.0,51,1,1.0,0.0,Defender,2
180,Ahmed Hegazi,0.0,0.0,0.0,38,2,2.0,0.0,Defender,2
181,Akin Famewo,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
182,Alan Hutton,0.0,0.0,0.0,28,0,0.0,0.0,Defender,2
183,Alberto Moreno,0.0,0.0,1.0,62,1,0.0,0.0,Defender,2
184,Aleksandar Dragovic,0.0,0.0,0.0,11,0,0.0,0.0,Defender,2
185,Aleksandar Kolarov,0.0,0.0,1.0,29,1,0.0,0.0,Defender,2
186,Alfie Mawson,0.0,1.0,0.0,27,4,3.0,0.0,Defender,2
187,Allan-Roméo Nyom,0.0,0.0,0.0,61,0,0.0,0.0,Defender,2
188,Andreas Christensen,0.0,0.0,0.0,8,0,0.0,0.0,Defender,2
189,Baily Cargill,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
190,Bacary Sagna,0.0,0.0,0.0,28,0,0.0,0.0,Defender,2
191,Aymeric Laporte,0.0,0.0,0.0,24,1,1.0,0.0,Defender,2
192,Axel Tuanzebe,0.0,0.0,0.0,10,0,0.0,0.0,Defender,2
193,Ashley Young,0.0,5.0,0.0,102,5,0.0,0.0,Defender,2
194,Ashley Williams,0.0,0.0,0.0,60,2,2.0,0.0,Defender,2
195,Dan Burn,0.0,0.0,0.0,34,0,0.0,0.0,Defender,2
196,Arthur Masuaku,0.0,0.0,0.0,53,0,0.0,0.0,Defender,2
197,Antonio Barreca,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
198,Antonio Barragán,0.0,0.0,0.0,26,0,0.0,0.0,Defender,2
199,Angelo Ogbonna,0.0,0.0,0.0,44,1,1.0,0.0,Defender,2
200,Angel Rangel,0.0,0.0,1.0,22,1,0.0,0.0,Defender,2
201,Andrew Robertson,0.0,0.0,1.0,69,3,2.0,0.0,Defender,2
202,Andrew Eleftheriou,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
203,Antonio Rüdiger,0.0,0.0,0.0,60,3,3.0,0.0,Defender,2
204,Zanka,0.0,1.0,1.0,62,3,1.0,0.0,Defender,2
205,Daniel Amartey,0.0,0.0,0.0,13,0,0.0,0.0,Defender,2
206,Danny Rose,0.0,0.0,3.0,101,3,0.0,0.0,Defender,2
207,Greg Cunningham,0.0,0.0,0.0,7,0,0.0,0.0,Defender,2
208,Guillermo Varela,0.0,0.0,0.0,4,0,0.0,0.0,Defender,2
209,Harry Maguire,0.0,3.0,0.0,69,5,2.0,0.0,Defender,2
210,Héctor Bellerín,0.0,1.0,1.0,88,2,0.0,0.0,Defender,2
211,Issa Diop,0.0,0.0,0.0,33,1,1.0,0.0,Defender,2
212,Ivo Pinto,0.0,0.0,0.0,10,0,0.0,0.0,Defender,2
213,Jack Simpson,0.0,0.0,0.0,11,0,0.0,0.0,Defender,2
214,Jack Stacey,0.0,0.0,0.0,19,0,0.0,0.0,Defender,2
215,Jake Clarke-Salter,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
216,Jake Vokins,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
217,Jamaal Lascelles,0.0,0.0,0.0,42,3,3.0,0.0,Defender,2
218,James Chester,0.0,0.0,0.0,13,0,0.0,0.0,Defender,2
219,James Collins,0.0,0.0,0.0,19,0,0.0,0.0,Defender,2
220,James Husband,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
221,Grant Hanley,0.0,0.0,0.0,15,0,0.0,0.0,Defender,2
222,James Tarkowski,0.0,1.0,2.0,123,5,1.0,0.0,Defender,2
223,Jamie Sterry,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
224,Jan Bednarek,0.0,1.0,1.0,39,2,0.0,0.0,Defender,2
225,Jan Vertonghen,0.0,0.0,0.0,107,2,2.0,0.0,Defender,2
226,Jannik Vestergaard,0.0,0.0,0.0,42,1,1.0,0.0,Defender,2
227,Japhet Tanganga,0.0,0.0,0.0,6,0,0.0,0.0,Defender,2
228,Javier Manquillo,0.0,1.0,0.0,59,1,0.0,0.0,Defender,2
229,Jeremy Ngakia,0.0,0.0,0.0,5,0,0.0,0.0,Defender,2
230,Jesús Navas,0.0,0.0,0.0,58,0,0.0,0.0,Defender,2
231,Jesús Vallejo,0.0,0.0,0.0,2,0,0.0,0.0,Defender,2
232,Jetro Willems,0.0,2.0,0.0,19,2,0.0,0.0,Defender,2
233,Joe Bennett,0.0,0.0,0.0,30,0,0.0,0.0,Defender,2
234,Joe Bryan,0.0,0.0,0.0,28,0,0.0,0.0,Defender,2
235,Joel Matip,0.0,1.0,0.0,54,2,1.0,0.0,Defender,2
236,John O'Shea,0.0,0.0,0.0,56,0,0.0,0.0,Defender,2
237,James Tomkins,0.0,3.0,2.0,95,7,2.0,0.0,Defender,2
238,George Friend,0.0,0.0,0.0,24,0,0.0,0.0,Defender,2
239,Gaëtan Bong,0.0,0.0,0.0,51,0,0.0,0.0,Defender,2
240,Gaël Clichy,0.0,1.0,0.0,39,1,0.0,0.0,Defender,2
241,Daryl Janmaat,0.0,4.0,2.0,90,7,1.0,0.0,Defender,2
242,David Luiz,0.0,2.0,1.0,112,7,4.0,0.0,Defender,2
243,Davide Zappacosta,0.0,0.0,1.0,26,1,0.0,0.0,Defender,2
244,DeAndre Yedlin,0.0,1.0,0.0,79,2,1.0,0.0,Defender,2
245,Dejan Lovren,0.0,1.0,0.0,63,2,1.0,0.0,Defender,2
246,Demetri Mitchell,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
247,Denis Odoi,0.0,0.0,0.0,31,0,0.0,0.0,Defender,2
248,Diego Rico,0.0,0.0,0.0,39,0,0.0,0.0,Defender,2
249,Dimitri Foulquier,0.0,0.0,0.0,3,0,0.0,0.0,Defender,2
250,Diogo Dalot,0.0,0.0,0.0,16,0,0.0,0.0,Defender,2
251,Dionatan Teixeira,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
252,Djibril Sidibé,0.0,0.0,0.0,25,0,0.0,0.0,Defender,2
253,Donald Love,0.0,0.0,0.0,1,0,0.0,0.0,Defender,2
254,Eliaquim Mangala,0.0,0.0,0.0,11,0,0.0,0.0,Defender,2
255,Emerson,0.0,0.0,0.0,5,0,0.0,0.0,Defender,2
256,Emil Krafth,0.0,0.0,0.0,17,0,0.0,0.0,Defender,2
257,Enda Stevens,0.0,0.0,1.0,38,2,1.0,0.0,Defender,2
258,Gary Cahill,0.0,4.0,1.0,114,8,3.0,0.0,Defender,2
259,Gareth McAuley,0.0,2.0,0.0,36,6,4.0,0.0,Defender,2
260,Gabriel Paulista,0.0,0.0,0.0,21,1,1.0,0.0,Defender,2
261,Florian Lejeune,0.0,1.0,1.0,18,2,0.0,0.0,Defender,2
262,Fikayo Tomori,0.0,1.0,0.0,16,1,0.0,0.0,Defender,2
263,Federico Fernández,0.0,0.0,0.0,46,0,0.0,0.0,Defender,2
264,Danilo,0.0,3.0,1.0,34,4,0.0,0.0,Defender,2
265,Fabricio Coloccini,0.0,1.0,0.0,26,1,0.0,0.0,Defender,2
266,Fabian Schär,0.0,1.0,1.0,22,2,0.0,0.0,Defender,2
267,Ezri Konsa Ngoyo,0.0,1.0,0.0,25,1,0.0,0.0,Defender,2
268,Ezequiel Schelotto,0.0,0.0,0.0,20,0,0.0,0.0,Defender,2
269,Erik Pieters,0.0,0.0,0.0,90,0,0.0,0.0,Defender,2
270,Erik Durm,0.0,0.0,0.0,28,0,0.0,0.0,Defender,2
271,Eric Bailly,0.0,0.0,0.0,41,0,0.0,0.0,Defender,2
272,Fabián Balbuena,0.0,2.0,0.0,40,2,0.0,0.0,Defender,2
273,Çaglar Söyüncü,0.0,0.0,0.0,40,1,1.0,0.0,Defender,2
274,Sadio Mané,74.0,44.0,20.0,164,74,10.0,0.45121951219512196,Forward,1
275,Jamie Vardy,67.0,52.0,22.0,142,85,11.0,0.47183098591549294,Forward,2
276,Mohamed Salah,66.0,11.0,58.0,108,73,4.0,0.6111111111111112,Forward,3
277,Sergio Agüero,53.0,46.0,7.0,86,65,12.0,0.6162790697674418,Forward,4
278,Harry Kane,47.0,32.0,15.0,75,55,7.0,0.6266666666666667,Forward,5
279,Eden Hazard,40.0,35.0,13.0,138,48,0.0,0.2898550724637681,Forward,6
280,Romelu Lukaku,39.0,9.0,23.0,71,41,9.0,0.5492957746478874,Forward,7
281,Son Heung-Min,39.0,20.0,16.0,126,39,3.0,0.30952380952380953,Forward,7
282,Chris Wood,33.0,12.0,8.0,94,34,14.0,0.35106382978723405,Forward,9
283,Roberto Firmino,33.0,19.0,8.0,106,34,7.0,0.3113207547169811,Forward,9
284,Alexis Sánchez,32.0,27.0,5.0,68,37,5.0,0.47058823529411764,Forward,11
285,Wilfried Zaha,32.0,24.0,7.0,170,32,1.0,0.18823529411764706,Forward,11
286,Diego Costa,32.0,22.0,8.0,63,32,2.0,0.5079365079365079,Forward,11
287,Anthony Martial,32.0,21.0,8.0,88,32,3.0,0.36363636363636365,Forward,11
288,Riyad Mahrez,29.0,7.0,28.0,132,36,1.0,0.2196969696969697,Forward,15
289,Jermain Defoe,28.0,26.0,8.0,98,34,0.0,0.2857142857142857,Forward,16
290,Pierre-Emerick Aubameyang,27.0,27.0,5.0,49,32,0.0,0.5510204081632653,Forward,17
291,Gabriel Jesus,26.0,14.0,9.0,73,28,5.0,0.3561643835616438,Forward,18
292,Salomón Rondón,24.0,9.0,8.0,106,26,8.0,0.22641509433962265,Forward,19
293,Callum Wilson,23.0,16.0,5.0,85,28,6.0,0.27058823529411763,Forward,20
294,Ashley Barnes,23.0,20.0,4.0,101,27,3.0,0.22772277227722773,Forward,20
295,Kevin De Bruyne,31.0,27.0,9.0,152,36,0.0,0.20394736842105263,Midfielder,1
296,Georginio Wijnaldum,24.0,16.0,1.0,179,25,8.0,0.1340782122905028,Midfielder,2
297,David Silva,15.0,2.0,15.0,80,17,0.0,0.1875,Midfielder,3
298,Juan Mata,14.0,3.0,15.0,113,18,0.0,0.12389380530973451,Midfielder,4
299,Junior Stanislas,14.0,17.0,2.0,99,20,1.0,0.1414141414141414,Midfielder,4
300,Roberto Pereyra,13.0,11.0,2.0,78,13,0.0,0.16666666666666666,Midfielder,6
301,Philippe Coutinho,13.0,13.0,1.0,40,15,1.0,0.325,Midfielder,6
302,Nathan Redmond,13.0,10.0,2.0,106,14,1.0,0.12264150943396226,Midfielder,6
303,Jesse Lingard,13.0,12.0,1.0,107,14,1.0,0.12149532710280374,Midfielder,6
304,Xherdan Shaqiri,13.0,2.0,13.0,91,16,1.0,0.14285714285714285,Midfielder,6
305,Erik Lamela,13.0,1.0,11.0,103,13,1.0,0.1262135922330097,Midfielder,6
306,Adam Lallana,13.0,5.0,7.0,101,13,1.0,0.12871287128712872,Midfielder,6
307,Ryan Fraser,12.0,9.0,3.0,64,12,0.0,0.1875,Midfielder,13
308,Aaron Ramsey,12.0,11.0,1.0,55,12,0.0,0.21818181818181817,Midfielder,13
309,Christian Eriksen,11.0,10.0,4.0,70,14,0.0,0.15714285714285714,Midfielder,15
310,Manuel Lanzini,11.0,8.0,3.0,77,11,0.0,0.14285714285714285,Midfielder,15
311,Andros Townsend,10.0,3.0,7.0,98,10,0.0,0.10204081632653061,Midfielder,17
312,Abdoulaye Doucouré,10.0,9.0,1.0,74,11,0.0,0.13513513513513514,Midfielder,17
313,Ross Barkley,10.0,10.0,2.0,76,13,1.0,0.13157894736842105,Midfielder,17
314,Henrikh Mkhitaryan,9.0,5.0,3.0,54,9,1.0,0.16666666666666666,Midfielder,20
315,Leroy Sané,9.0,1.0,8.0,31,10,0.0,0.2903225806451613,Midfielder,20
316,Pascal Groß,9.0,9.0,1.0,92,12,2.0,0.09782608695652174,Midfielder,20
317,James Morrison,9.0,5.0,2.0,53,9,2.0,0.16981132075471697,Midfielder,20
