,Session #,Customer ID,Song Order,Date,Artist,Song
71,20,bdc39c,12,2020-12-25 03:27:00.000,Grease,Summer Nights
72,21,b5f816,1,2020-12-25 15:00:00.000,Ed Sheeran,Shape Of You
73,22,8bc93d,1,2020-12-25 16:00:00.029,Dua Lipa,New Rules
74,23,793a1c,1,2020-12-25 16:59:59.971,Eminem,Lose Yourself
75,23,793a1c,2,2020-12-25 17:03:00.029,Elton John & Kiki Dee,Don’t Go Breaking My Heart
76,23,793a1c,3,2020-12-25 17:05:00.038,Hugh Jackman & The Greatest Showman Cast,The Greatest Show
77,24,cda151,1,2020-12-25 19:59:59.971,The Proclaimers,I’m Gonna Be (500 Miles)
78,24,cda151,2,2020-12-25 20:03:00.029,Alexandra Burke,Hallelujah
79,25,8bc93d,1,2020-12-25 22:00:00.029,The Beatles,Hey Jude
80,25,8bc93d,2,2020-12-25 22:03:00.000,Queen,Don’t Stop Me Now
81,25,8bc93d,3,2020-12-25 22:05:59.971,Lady Gaga & Bradley Cooper,Shallow
82,25,8bc93d,4,2020-12-25 22:09:00.029,Camilla Cabello Ft. Young Thug,Havana
83,25,8bc93d,5,2020-12-25 22:11:00.038,Queen,Don’t Stop Me Now
84,25,8bc93d,6,2020-12-25 22:14:00.010,Dirty Dancing,The Time Of My Life
85,25,8bc93d,7,2020-12-25 22:16:59.981,Lil Nas X,Old Town Road
86,25,8bc93d,8,2020-12-25 22:20:00.038,Mariah Carey,All I Want For Christmas Is You
87,26,c01ecb,1,2020-12-26 06:00:00.000,Estelle Ft. Kanye West,American Boy
88,26,c01ecb,2,2020-12-26 06:02:59.971,ABBA,Waterloo
89,26,c01ecb,3,2020-12-26 06:06:00.029,Bonnie Tyler,Total Eclipse Of The Heart
90,27,40581f,1,2020-12-26 09:00:00.000,Lady Gaga & Bradley Cooper,Shallow
91,27,40581f,2,2020-12-26 09:02:59.971,TLC,No Scrubs
92,27,40581f,3,2020-12-26 09:06:00.029,TLC,No Scrubs
93,28,2bb0da,1,2020-12-26 12:00:00.000,Mark Ronson Ft. Amy Winehouse,Valerie
94,28,2bb0da,2,2020-12-26 12:02:59.971,Lil Nas X,Old Town Road
95,28,2bb0da,3,2020-12-26 12:06:00.029,ABBA,Gimme Gimme Gimme
96,28,2bb0da,4,2020-12-26 12:08:00.038,The Lion King,Can You Feel The Love Tonight
97,28,2bb0da,5,2020-12-26 12:09:59.962,Ed Sheeran,Castle On The Hill
98,28,2bb0da,6,2020-12-26 12:13:00.019,The Little Mermaid,Under The Sea
99,28,2bb0da,7,2020-12-26 12:15:00.029,Ed Sheeran,Shape Of You
100,29,b919e0,1,2020-12-26 19:00:00.029,ABBA,Mamma Mia
101,30,ccee6c,1,2020-12-26 19:59:59.971,The Proclaimers,I’m Gonna Be (500 Miles)
102,31,4b11b8,1,2020-12-26 21:00:00.000,Queen,I Want To Break Free
103,31,4b11b8,2,2020-12-26 21:02:59.971,Aqua,Barbie Girl
104,31,4b11b8,3,2020-12-26 21:04:59.981,ABBA,Dancing Queen
105,31,4b11b8,4,2020-12-26 21:06:59.990,Dua Lipa,New Rules
106,31,4b11b8,5,2020-12-26 21:09:59.962,Elton John,Your Song
107,31,4b11b8,6,2020-12-26 21:11:59.971,Frank Sinatra,My Way
108,31,4b11b8,7,2020-12-26 21:15:00.029,Toto,Africa
109,31,4b11b8,8,2020-12-26 21:18:00.000,Ava Max,Sweet But Psycho
110,32,cd2834,1,2020-12-27 06:00:00.000,Ed Sheeran,Perfect
111,33,3fdc46,1,2020-12-27 07:00:00.029,High School Musical,Breaking Free
112,33,3fdc46,2,2020-12-27 07:03:00.000,Dolly Parton,9 To 5
113,34,817c35,1,2020-12-27 09:00:00.000,George Ezra,Shotgun
114,34,817c35,2,2020-12-27 09:02:00.010,Dua Lipa,New Rules
115,35,5f56ac,1,2020-12-27 10:59:59.971,Taylor Swift,Shake It Off
116,35,5f56ac,2,2020-12-27 11:01:59.981,Camilla Cabello Ft. Young Thug,Havana
117,36,b0b55f,1,2020-12-27 13:00:00.029,The Pogues,Fairytale Of New York
118,36,b0b55f,2,2020-12-27 13:02:00.038,Moana,How Far I’ll Go
119,36,b0b55f,3,2020-12-27 13:05:00.010,A-Ha,Take On Me
120,37,8dc987,1,2020-12-27 16:00:00.029,Shawn Mendes & Camila Cabello,Senorita
121,37,8dc987,2,2020-12-27 16:03:00.000,Alexandra Burke,Hallelujah
122,38,41c5b3,1,2020-12-27 18:00:00.000,Kesha,This Is Me (Greatest Showman)
123,38,41c5b3,2,2020-12-27 18:02:59.971,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
124,39,19c2ae,1,2020-12-27 19:59:59.971,Ed Sheeran,Perfect
125,39,19c2ae,2,2020-12-27 20:01:59.981,The Little Mermaid,Part Of Your World
126,39,19c2ae,3,2020-12-27 20:05:00.038,Bonnie Tyler,Total Eclipse Of The Heart
127,39,19c2ae,4,2020-12-27 20:08:00.010,Aladdin,A Whole New World
128,39,19c2ae,5,2020-12-27 20:10:59.981,Luis Fonsi & Daddy Yankee,Despacito
129,39,19c2ae,6,2020-12-27 20:12:59.990,Estelle Ft. Kanye West,American Boy
130,39,19c2ae,7,2020-12-27 20:15:59.962,The Human League,Don’t You Want Me Baby
131,40,8d850e,1,2020-12-28 03:00:00.000,Britney Spears,Toxic
132,40,8d850e,2,2020-12-28 03:02:59.971,Queen,I Want To Break Free
133,40,8d850e,3,2020-12-28 03:06:00.029,Bonnie Tyler,Total Eclipse Of The Heart
134,40,8d850e,4,2020-12-28 03:09:00.000,Backstreet Boys,Everybody
135,40,8d850e,5,2020-12-28 03:11:00.010,The Lion King,Hakuna Matata
136,40,8d850e,6,2020-12-28 03:13:00.019,ABBA,Mamma Mia
137,40,8d850e,7,2020-12-28 03:15:00.029,The Lion King,Can You Feel The Love Tonight
138,40,8d850e,8,2020-12-28 03:17:00.038,John Denver,"Take Me Home, Country Roads"
139,40,8d850e,9,2020-12-28 03:20:00.010,Outkast,Hey Ya
140,40,8d850e,10,2020-12-28 03:22:59.981,Elton John,Your Song
141,40,8d850e,11,2020-12-28 03:24:59.990,The Human League,Don’t You Want Me Baby
142,41,f0549d,1,2020-12-28 13:59:59.971,ABBA,Dancing Queen
143,41,f0549d,2,2020-12-28 14:01:59.981,Grease,You’re The One That I Want
144,42,b5f816,1,2020-12-28 16:00:00.029,Bonnie Tyler,Total Eclipse Of The Heart
145,43,90980,1,2020-12-28 16:59:59.971,Grease,Summer Nights
146,43,90980,2,2020-12-28 17:01:59.981,Mark Ronson Ft. Amy Winehouse,Valerie
147,43,90980,3,2020-12-28 17:05:00.038,Ed Sheeran & Justin Bieber,I Don’t Care
148,44,0b032a,1,2020-12-28 19:59:59.971,The Lion King,I Just Can’t Wait To Be King
149,44,0b032a,2,2020-12-28 20:01:59.981,Grease,Summer Nights
150,44,0b032a,3,2020-12-28 20:03:59.990,Taylor Swift,Shake It Off
151,44,0b032a,4,2020-12-28 20:06:00.000,Luis Fonsi & Daddy Yankee,Despacito
152,45,62f99c,1,2020-12-29 00:00:00.000,George Ezra,Shotgun
153,45,62f99c,2,2020-12-29 00:02:00.010,Britney Spears,Baby One More Time
154,45,62f99c,3,2020-12-29 00:04:00.019,The Greatest Showman,A Million Dreams
155,45,62f99c,4,2020-12-29 00:06:59.990,Anne-Marie,2002
156,45,62f99c,5,2020-12-29 00:09:59.962,Oasis,Wonderwall
157,46,74e4cd,1,2020-12-29 04:59:59.971,Britney Spears,Baby One More Time
158,46,74e4cd,2,2020-12-29 05:01:59.981,Ed Sheeran,Perfect
159,46,74e4cd,3,2020-12-29 05:03:59.990,Cher,Believe
160,46,74e4cd,4,2020-12-29 05:06:59.962,Anne-Marie,2002
161,46,74e4cd,5,2020-12-29 05:10:00.019,Ike And Tina Turner,Proud Mary
162,46,74e4cd,6,2020-12-29 05:12:00.029,Kings Of Leon,Sex Is On Fire
163,46,74e4cd,7,2020-12-29 05:14:00.038,Frank Sinatra,My Way
164,46,74e4cd,8,2020-12-29 05:17:00.010,Elvis Presley,Suspicious Minds
165,47,b5f816,1,2020-12-29 13:00:00.029,Pinkfong,Baby Shark
166,47,b5f816,2,2020-12-29 13:03:00.000,Guns N’ Roses,Sweet Child O’ Mine
167,48,b33ec1,1,2020-12-29 15:00:00.000,The Proclaimers,I’m Gonna Be (500 Miles)
168,48,b33ec1,2,2020-12-29 15:02:59.971,Tones And I,Dance Monkey
169,48,b33ec1,3,2020-12-29 15:06:00.029,The Beatles,Hey Jude
170,48,b33ec1,4,2020-12-29 15:09:00.000,The Proclaimers,I’m Gonna Be (500 Miles)
171,48,b33ec1,5,2020-12-29 15:11:59.971,Dua Lipa,New Rules
172,49,b919e0,1,2020-12-29 19:59:59.971,Ava Max,Sweet But Psycho
173,49,b919e0,2,2020-12-29 20:03:00.029,ABBA,Gimme Gimme Gimme
174,50,0cf9e6,1,2020-12-29 22:00:00.029,Frank Sinatra,New York New York
175,50,0cf9e6,2,2020-12-29 22:03:00.000,ABBA,Waterloo
176,50,0cf9e6,3,2020-12-29 22:05:59.971,Vanilla Ice,Ice Ice Baby
177,50,0cf9e6,4,2020-12-29 22:09:00.029,TLC,No Scrubs
178,51,01fc7c,1,2020-12-30 01:59:59.971,Queen,Don’t Stop Me Now
179,51,01fc7c,2,2020-12-30 02:03:00.029,Outkast,Hey Ya
180,51,01fc7c,3,2020-12-30 02:06:00.000,Billie Eilish,Bad Guy
181,51,01fc7c,4,2020-12-30 02:08:00.010,Lady Gaga & Bradley Cooper,Shallow
182,51,01fc7c,5,2020-12-30 02:10:59.981,Mark Ronson Ft. Bruno Mars,Uptown Funk
183,51,01fc7c,6,2020-12-30 02:14:00.038,Ed Sheeran,Perfect
184,51,01fc7c,7,2020-12-30 02:15:59.962,Grease,You’re The One That I Want
185,52,de547f,1,2020-12-30 09:00:00.000,Ed Sheeran,Perfect
186,53,2f626e,1,2020-12-30 10:00:00.029,ABBA,Waterloo
187,53,2f626e,2,2020-12-30 10:03:00.000,Tones And I,Dance Monkey
188,54,40b63a,1,2020-12-30 12:00:00.000,Outkast,Hey Ya
189,55,2e5db7,1,2020-12-30 13:00:00.029,Wham!,Last Christmas
190,55,2e5db7,2,2020-12-30 13:02:00.038,Little Mix,Shout Out To My Ex
191,55,2e5db7,3,2020-12-30 13:05:00.010,Alexandra Burke,Hallelujah
192,55,2e5db7,4,2020-12-30 13:07:59.981,Grease,Summer Nights
193,55,2e5db7,5,2020-12-30 13:09:59.990,ABBA,Gimme Gimme Gimme
194,55,2e5db7,6,2020-12-30 13:12:00.000,Cher,Believe
195,56,b0c352,1,2020-12-30 19:00:00.029,Ed Sheeran,Shape Of You
196,56,b0c352,2,2020-12-30 19:03:00.000,The Human League,Don’t You Want Me Baby
197,57,2bb0da,1,2020-12-30 21:00:00.000,Spice Girls,Wannabe
198,57,2bb0da,2,2020-12-30 21:02:00.010,Bon Jovi,Livin’ On A Prayer
199,58,29505,1,2020-12-30 22:59:59.971,ABBA,Dancing Queen
200,58,29505,2,2020-12-30 23:01:59.981,Dirty Dancing,The Time Of My Life
201,59,bdc39c,1,2020-12-31 01:59:59.971,Ed Sheeran,Shape Of You
202,60,817c35,1,2020-12-31 03:00:00.000,Anne-Marie,2002
203,61,3fdc46,1,2020-12-31 04:00:00.029,Pinkfong,Baby Shark
204,61,3fdc46,2,2020-12-31 04:03:00.000,Frank Sinatra,New York New York
205,61,3fdc46,3,2020-12-31 04:05:59.971,Vanilla Ice,Ice Ice Baby
206,61,3fdc46,4,2020-12-31 04:09:00.029,Loren Allred,Never Enough (The Greatest Showman)
207,62,0b032a,1,2020-12-31 07:59:59.971,Mariah Carey,All I Want For Christmas Is You
208,63,ffa716,1,2020-12-31 09:00:00.000,Elton John,Your Song
209,63,ffa716,2,2020-12-31 09:02:00.010,Little Mix,Shout Out To My Ex
210,63,ffa716,3,2020-12-31 09:04:59.981,The Human League,Don’t You Want Me Baby
211,63,ffa716,4,2020-12-31 09:08:00.038,Bon Jovi,Livin’ On A Prayer
212,64,ef2c80,1,2020-12-31 13:00:00.029,Oasis,Don’t Look Back In Anger
213,64,ef2c80,2,2020-12-31 13:03:00.000,Elton John & Kiki Dee,Don’t Go Breaking My Heart
214,64,ef2c80,3,2020-12-31 13:05:00.010,Bon Jovi,Livin’ On A Prayer
215,64,ef2c80,4,2020-12-31 13:07:00.019,The Lion King,Hakuna Matata
216,65,2bb0da,1,2020-12-31 16:59:59.971,Shania Twain,Man! I Feel Like A Woman
217,66,1d80ad,1,2020-12-31 18:00:00.000,The Proclaimers,I’m Gonna Be (500 Miles)
218,66,1d80ad,2,2020-12-31 18:02:59.971,The Little Mermaid,Part Of Your World
219,67,ddd7ca,1,2020-12-31 19:59:59.971,Guns N’ Roses,Sweet Child O’ Mine
220,67,ddd7ca,2,2020-12-31 20:01:59.981,Taylor Swift,Shake It Off
221,67,ddd7ca,3,2020-12-31 20:03:59.990,Aqua,Barbie Girl
222,68,732ed3,1,2020-12-31 22:59:59.971,Beyonce,Single Ladies (Put A Ring On It)
223,68,732ed3,2,2020-12-31 23:03:00.029,Outkast,Hey Ya
224,68,732ed3,3,2020-12-31 23:06:00.000,Oasis,Don’t Look Back In Anger
225,68,732ed3,4,2020-12-31 23:08:59.971,Robbie Williams,Angels
226,68,732ed3,5,2020-12-31 23:12:00.029,Moana,How Far I’ll Go
227,69,793a1c,1,2021-01-01 04:00:00.029,The Proclaimers,I’m Gonna Be (500 Miles)
228,69,793a1c,2,2021-01-01 04:03:00.000,The Lion King,I Just Can’t Wait To Be King
229,70,80244a,1,2021-01-01 06:00:00.000,Frozen,Let It Go
230,70,80244a,2,2021-01-01 06:02:00.010,Ava Max,Sweet But Psycho
231,70,80244a,3,2021-01-01 06:04:59.981,The Lion King,Can You Feel The Love Tonight
232,70,80244a,4,2021-01-01 06:06:59.990,Loren Allred,Never Enough (The Greatest Showman)
233,70,80244a,5,2021-01-01 06:09:00.000,Outkast,Hey Ya
234,70,80244a,6,2021-01-01 06:11:59.971,Will Smith,The Fresh Prince Of Bel Air
235,71,f17170,1,2021-01-01 12:00:00.000,Lady Gaga & Bradley Cooper,Shallow
236,72,e43422,1,2021-01-01 13:00:00.029,Shawn Mendes & Camila Cabello,Senorita
237,72,e43422,2,2021-01-01 13:03:00.000,Will Smith,The Fresh Prince Of Bel Air
238,72,e43422,3,2021-01-01 13:05:00.010,Ed Sheeran,Perfect
239,72,e43422,4,2021-01-01 13:07:00.019,Wham!,Last Christmas
240,72,e43422,5,2021-01-01 13:09:00.029,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
241,72,e43422,6,2021-01-01 13:11:00.038,Shania Twain,Man! I Feel Like A Woman
242,72,e43422,7,2021-01-01 13:14:00.010,Mark Ronson Ft. Bruno Mars,Uptown Funk
243,73,,1,2021-01-01 19:59:59.971,Bonnie Tyler,Total Eclipse Of The Heart
244,74,749ebe,1,2021-01-01 21:00:00.000,The Pogues,Fairytale Of New York
245,74,749ebe,2,2021-01-01 21:02:00.010,George Ezra,Shotgun
246,74,749ebe,3,2021-01-01 21:04:00.019,Mark Ronson Ft. Bruno Mars,Uptown Funk
247,74,749ebe,4,2021-01-01 21:06:59.990,Estelle Ft. Kanye West,American Boy
248,75,6eb0e1,1,2021-01-02 01:00:00.029,Oasis,Wonderwall
249,76,ccee6c,1,2021-01-02 01:59:59.971,Ed Sheeran,Shape Of You
250,77,a18ee9,1,2021-01-02 03:00:00.000,A-Ha,Take On Me
251,78,140940,1,2021-01-02 04:00:00.029,Mark Ronson Ft. Amy Winehouse,Valerie
252,78,140940,2,2021-01-02 04:03:00.000,Elton John,Your Song
253,79,19c2ae,1,2021-01-02 06:00:00.000,Estelle Ft. Kanye West,American Boy
254,79,19c2ae,2,2021-01-02 06:02:59.971,Bryan Adams,Summer Of ’69
255,79,19c2ae,3,2021-01-02 06:06:00.029,Dolly Parton & Kenny Rogers,Islands In The Stream
256,80,3fdc46,1,2021-01-02 09:00:00.000,The Greatest Showman,A Million Dreams
257,80,3fdc46,2,2021-01-02 09:02:59.971,Aqua,Barbie Girl
258,80,3fdc46,3,2021-01-02 09:04:59.981,Ed Sheeran,Castle On The Hill
259,80,3fdc46,4,2021-01-02 09:08:00.038,Robbie Williams,Angels
260,80,3fdc46,5,2021-01-02 09:11:00.010,Toto,Africa
261,81,a242ac,1,2021-01-02 13:59:59.971,Guns N’ Roses,Sweet Child O’ Mine
262,81,a242ac,2,2021-01-02 14:01:59.981,Mark Ronson Ft. Amy Winehouse,Valerie
263,81,a242ac,3,2021-01-02 14:05:00.038,Will Smith,The Fresh Prince Of Bel Air
264,81,a242ac,4,2021-01-02 14:06:59.962,Queen,We Will Rock You
265,81,a242ac,5,2021-01-02 14:10:00.019,Ed Sheeran,Shape Of You
266,81,a242ac,6,2021-01-02 14:12:59.990,Spice Girls,Wannabe
267,81,a242ac,7,2021-01-02 14:15:00.000,Eminem,Lose Yourself
268,81,a242ac,8,2021-01-02 14:17:59.971,Lil Nas X,Old Town Road
269,82,b919e0,1,2021-01-02 22:00:00.029,Elton John,Your Song
270,83,bf513b,1,2021-01-02 22:59:59.971,Moana,How Far I’ll Go
271,83,bf513b,2,2021-01-02 23:03:00.029,Loren Allred,Never Enough (The Greatest Showman)
272,84,40581f,1,2021-01-03 01:00:00.029,Neil Diamond,Sweet Caroline
273,85,16fc7f,1,2021-01-03 01:59:59.971,The Lion King,I Just Can’t Wait To Be King
274,85,16fc7f,2,2021-01-03 02:01:59.981,Pinkfong,Baby Shark
275,86,a04f42,1,2021-01-03 04:00:00.029,Oasis,Don’t Look Back In Anger
276,86,a04f42,2,2021-01-03 04:03:00.000,Neil Diamond,Sweet Caroline
277,86,a04f42,3,2021-01-03 04:05:59.971,Grease,Summer Nights
278,87,732ed3,1,2021-01-03 07:00:00.029,Ed Sheeran,Perfect
279,88,8e86fe,1,2021-01-03 07:59:59.971,Dua Lipa,New Rules
280,88,8e86fe,2,2021-01-03 08:03:00.029,The Weather Girls,It’s Raining Men
281,89,c3e2e0,1,2021-01-03 10:00:00.029,Pinkfong,Baby Shark
282,90,f97dbd,1,2021-01-03 10:59:59.971,The Lion King,Can You Feel The Love Tonight
283,90,f97dbd,2,2021-01-03 11:01:59.981,Ed Sheeran & Justin Bieber,I Don’t Care
284,91,4b11b8,1,2021-01-03 13:00:00.029,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
285,91,4b11b8,2,2021-01-03 13:02:00.038,Backstreet Boys,Everybody
286,91,4b11b8,3,2021-01-03 13:03:59.962,Oasis,Wonderwall
287,91,4b11b8,4,2021-01-03 13:05:59.971,Loren Allred,Never Enough (The Greatest Showman)
288,91,4b11b8,5,2021-01-03 13:07:59.981,Luis Fonsi & Daddy Yankee,Despacito
289,91,4b11b8,6,2021-01-03 13:09:59.990,Moana,How Far I’ll Go
290,91,4b11b8,7,2021-01-03 13:12:59.962,Oasis,Wonderwall
291,91,4b11b8,8,2021-01-03 13:14:59.971,Mariah Carey,All I Want For Christmas Is You
292,91,4b11b8,9,2021-01-03 13:16:59.981,Robbie Williams,Angels
293,91,4b11b8,10,2021-01-03 13:20:00.038,Britney Spears,Toxic
294,91,4b11b8,11,2021-01-03 13:23:00.010,Cher,Believe
295,91,4b11b8,12,2021-01-03 13:25:59.981,The Lion King,Can You Feel The Love Tonight
296,91,4b11b8,13,2021-01-03 13:27:59.990,John Denver,"Take Me Home, Country Roads"
297,91,4b11b8,14,2021-01-03 13:30:59.962,Britney Spears,Toxic
298,91,4b11b8,15,2021-01-03 13:34:00.019,Loren Allred,Never Enough (The Greatest Showman)
299,91,4b11b8,16,2021-01-03 13:36:00.029,ABBA,Dancing Queen
300,91,4b11b8,17,2021-01-03 13:38:00.038,Spice Girls,Wannabe
301,91,4b11b8,18,2021-01-03 13:39:59.962,ABBA,Waterloo
302,92,bdc39c,1,2021-01-04 07:00:00.029,The Lion King,Hakuna Matata
303,93,90980,1,2021-01-04 07:59:59.971,The Pogues,Fairytale Of New York
304,93,90980,2,2021-01-04 08:01:59.981,Dirty Dancing,The Time Of My Life
305,93,90980,3,2021-01-04 08:05:00.038,The Lion King,I Just Can’t Wait To Be King
306,94,873117,1,2021-01-04 10:59:59.971,George Ezra,Shotgun
307,94,873117,2,2021-01-04 11:01:59.981,Queen,Don’t Stop Me Now
308,95,23d93f,1,2021-01-04 13:00:00.029,Lady Gaga & Bradley Cooper,Shallow
309,96,01fc7c,1,2021-01-04 13:59:59.971,Wham!,Last Christmas
310,96,01fc7c,2,2021-01-04 14:01:59.981,Ariana Grande,7 Rings
311,97,9e17fe,1,2021-01-04 16:00:00.029,The Weather Girls,It’s Raining Men
312,98,758060,1,2021-01-04 16:59:59.971,Frank Sinatra,My Way
313,99,ccee6c,1,2021-01-04 18:00:00.000,John Denver,"Take Me Home, Country Roads"
314,99,ccee6c,2,2021-01-04 18:02:59.971,Dua Lipa,New Rules
315,100,ddd7ca,1,2021-01-04 19:59:59.971,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
316,101,a59dd7,1,2021-01-04 21:00:00.000,John Denver,"Take Me Home, Country Roads"
317,102,6b550c,1,2021-01-04 22:00:00.029,TLC,No Scrubs
318,103,a8ed24,1,2021-01-04 22:59:59.971,Grease,You’re The One That I Want
319,103,a8ed24,2,2021-01-04 23:01:59.981,High School Musical,Breaking Free
320,104,758060,1,2021-01-05 01:00:00.029,Shania Twain,Man! I Feel Like A Woman
