,Rank,Area,Product Name,Revenue,% of Total - Product
51,2,Holbeach,Hand Sanitiser,1308,38.28
52,1,Holbeach,"Soap, Bar",1797,52.59
53,3,Holbeach,"Soap, Liquid",312,9.13
54,3,Holsworthy,Hand Sanitiser,330,7.89
55,2,Holsworthy,"Soap, Bar",1743,41.65
56,1,Holsworthy,"Soap, Liquid",2112,50.47
57,2,Huddersfield,Hand Sanitiser,872,44.42
58,1,Huddersfield,"Soap, Bar",928,47.27
59,3,Huddersfield,"Soap, Liquid",162,8.25
60,3,Insch,Hand Sanitiser,273,6.63
61,2,Insch,"Soap, Bar",851,20.66
62,1,Insch,"Soap, Liquid",2996,72.72
63,2,Inveraray,Hand Sanitiser,440,15.4
64,3,Inveraray,"Soap, Bar",410,14.35
65,1,Inveraray,"Soap, Liquid",2008,70.27
66,3,Inverurie,Hand Sanitiser,277,8.12
67,1,Inverurie,"Soap, Bar",1774,52.02
68,2,Inverurie,"Soap, Liquid",1358,39.82
69,3,Kettering,Hand Sanitiser,579,13.47
70,2,Kettering,"Soap, Bar",878,20.43
71,1,Kettering,"Soap, Liquid",2840,66.08
72,3,Kings Lynn,Hand Sanitiser,664,20.6
73,2,Kings Lynn,"Soap, Bar",883,27.39
74,1,Kings Lynn,"Soap, Liquid",1677,52.02
75,3,Knighton,Hand Sanitiser,859,20.1
76,2,Knighton,"Soap, Bar",1706,39.91
77,1,Knighton,"Soap, Liquid",1710,40.0
78,3,Lowestoft,Hand Sanitiser,444,8.71
79,2,Lowestoft,"Soap, Bar",1897,37.21
80,1,Lowestoft,"Soap, Liquid",2756,54.06
81,3,Lydney,Hand Sanitiser,181,4.48
82,2,Lydney,"Soap, Bar",1643,40.67
83,1,Lydney,"Soap, Liquid",2216,54.85
84,3,Maidstone,Hand Sanitiser,657,19.45
85,2,Maidstone,"Soap, Bar",887,26.26
86,1,Maidstone,"Soap, Liquid",1833,54.27
87,3,Manchester,Hand Sanitiser,621,14.17
88,1,Manchester,"Soap, Bar",2084,47.56
89,2,Manchester,"Soap, Liquid",1677,38.27
90,3,Market Weighton,Hand Sanitiser,273,7.02
91,1,Market Weighton,"Soap, Bar",2480,63.76
92,2,Market Weighton,"Soap, Liquid",1138,29.26
93,2,Matlock,Hand Sanitiser,698,22.78
94,1,Matlock,"Soap, Bar",1715,55.98
95,3,Matlock,"Soap, Liquid",650,21.22
96,3,Merthyr Tydfil,Hand Sanitiser,520,12.96
97,2,Merthyr Tydfil,"Soap, Bar",833,20.77
98,1,Merthyr Tydfil,"Soap, Liquid",2658,66.27
99,2,Millom,Hand Sanitiser,827,26.0
100,3,Millom,"Soap, Bar",514,16.16
101,1,Millom,"Soap, Liquid",1840,57.86
102,2,Newton Stewart,Hand Sanitiser,1134,42.06
103,1,Newton Stewart,"Soap, Bar",1556,57.71
104,3,Newton Stewart,"Soap, Liquid",6,0.22
105,3,Rugby,Hand Sanitiser,497,12.89
106,2,Rugby,"Soap, Bar",1397,36.22
107,1,Rugby,"Soap, Liquid",1963,50.9
108,3,Sanquhar,Hand Sanitiser,346,7.87
109,2,Sanquhar,"Soap, Bar",723,16.44
110,1,Sanquhar,"Soap, Liquid",3328,75.68
111,2,St Andrews,Hand Sanitiser,882,24.46
112,3,St Andrews,"Soap, Bar",801,22.21
113,1,St Andrews,"Soap, Liquid",1924,53.35
114,3,St Austell,Hand Sanitiser,474,16.19
115,2,St Austell,"Soap, Bar",660,22.54
116,1,St Austell,"Soap, Liquid",1794,61.28
117,3,St Helens,Hand Sanitiser,589,14.89
118,2,St Helens,"Soap, Bar",1092,27.61
119,1,St Helens,"Soap, Liquid",2275,57.51
120,3,Sunderland,Hand Sanitiser,348,7.93
121,2,Sunderland,"Soap, Bar",1802,41.09
122,1,Sunderland,"Soap, Liquid",2236,50.98
123,3,Thornhill,Hand Sanitiser,721,17.55
124,2,Thornhill,"Soap, Bar",805,19.6
125,1,Thornhill,"Soap, Liquid",2580,62.82
126,3,Thurso,Hand Sanitiser,373,10.99
127,2,Thurso,"Soap, Bar",1474,43.42
128,1,Thurso,"Soap, Liquid",1547,45.57
129,3,Tongue,Hand Sanitiser,822,20.71
130,2,Tongue,"Soap, Bar",924,23.28
131,1,Tongue,"Soap, Liquid",2223,56.01
132,3,Ullapool,Hand Sanitiser,465,15.42
133,2,Ullapool,"Soap, Bar",905,30.02
134,1,Ullapool,"Soap, Liquid",1644,54.53
135,3,Wetherby,Hand Sanitiser,1003,27.44
136,2,Wetherby,"Soap, Bar",1183,32.37
137,1,Wetherby,"Soap, Liquid",1469,40.19
138,3,Worthing,Hand Sanitiser,334,9.58
139,1,Worthing,"Soap, Bar",2020,57.95
140,2,Worthing,"Soap, Liquid",1131,32.45
141,3,Wrexham,Hand Sanitiser,545,16.33
142,1,Wrexham,"Soap, Bar",2129,63.79
143,2,Wrexham,"Soap, Liquid",663,19.87
