,Month,Breakdown,Country,Number of Tourists
208,01/06/2020,Americas,Unknown,0
209,01/03/2010,Americas,Unknown,1788
210,01/03/2011,Americas,Unknown,2089
211,01/03/2012,Americas,Unknown,2147
212,01/03/2013,Americas,Unknown,3069
213,01/03/2014,Americas,Unknown,3746
214,01/03/2015,Americas,Unknown,4504
215,01/03/2016,Americas,Unknown,4741
216,01/03/2017,Americas,Unknown,5440
217,01/03/2018,Americas,Unknown,6746
218,01/03/2019,Americas,Unknown,10207
219,01/03/2020,Americas,Unknown,3183
220,01/05/2010,Americas,Unknown,1348
221,01/05/2011,Americas,Unknown,1639
222,01/05/2012,Americas,Unknown,1751
223,01/05/2013,Americas,Unknown,2416
224,01/05/2014,Americas,Unknown,3000
225,01/05/2015,Americas,Unknown,3683
226,01/05/2016,Americas,Unknown,3438
227,01/05/2017,Americas,Unknown,4214
228,01/05/2018,Americas,Unknown,4630
229,01/05/2019,Americas,Unknown,5395
230,01/05/2020,Americas,Unknown,0
231,01/11/2010,Americas,Unknown,1762
232,01/11/2011,Americas,Unknown,2401
233,01/11/2012,Americas,Unknown,2287
234,01/11/2013,Americas,Unknown,3023
235,01/11/2014,Americas,Unknown,3178
236,01/11/2015,Americas,Unknown,3496
237,01/11/2016,Americas,Unknown,4580
238,01/11/2017,Americas,Unknown,6269
239,01/11/2018,Americas,Unknown,6830
240,01/11/2019,Americas,Unknown,8020
241,01/11/2020,Americas,Unknown,3390
242,01/10/2010,Americas,Unknown,1764
243,01/10/2011,Americas,Unknown,2032
244,01/10/2012,Americas,Unknown,2910
245,01/10/2013,Americas,Unknown,3106
246,01/10/2014,Americas,Unknown,3883
247,01/10/2015,Americas,Unknown,3614
248,01/10/2016,Americas,Unknown,4391
249,01/10/2017,Americas,Unknown,5008
250,01/10/2018,Americas,Unknown,5314
251,01/10/2019,Americas,Unknown,6496
252,01/10/2020,Americas,Unknown,2276
253,01/09/2010,Americas,Unknown,1480
254,01/09/2011,Americas,Unknown,1750
255,01/09/2012,Americas,Unknown,2063
256,01/09/2013,Americas,Unknown,2392
257,01/09/2014,Americas,Unknown,2995
258,01/09/2015,Americas,Unknown,3423
259,01/09/2016,Americas,Unknown,4251
260,01/09/2017,Americas,Unknown,4632
261,01/09/2018,Americas,Unknown,5055
262,01/09/2019,Americas,Unknown,5982
263,01/09/2020,Americas,Unknown,1519
264,01/04/2010,Asia,Unknown,16369
265,01/04/2011,Asia,Unknown,20674
266,01/04/2012,Asia,Unknown,21728
267,01/04/2013,Asia,Unknown,33903
268,01/04/2014,Asia,Unknown,41212
269,01/04/2015,Asia,Unknown,43638
270,01/04/2016,Asia,Unknown,44604
271,01/04/2017,Asia,Unknown,44308
272,01/04/2018,Asia,Unknown,40543
273,01/04/2019,Asia,Unknown,54400
274,01/04/2020,Asia,Unknown,12
275,01/08/2010,Asia,Unknown,24382
276,01/08/2011,Asia,Unknown,33333
277,01/08/2012,Asia,Unknown,37452
278,01/08/2013,Asia,Unknown,51450
279,01/08/2014,Asia,Unknown,54399
280,01/08/2015,Asia,Unknown,59197
281,01/08/2016,Asia,Unknown,55710
282,01/08/2017,Asia,Unknown,57701
283,01/08/2018,Asia,Unknown,54810
284,01/08/2019,Asia,Unknown,61791
285,01/08/2020,Asia,Unknown,545
286,01/12/2010,Asia,Unknown,19643
287,01/12/2011,Asia,Unknown,27077
288,01/12/2012,Asia,Unknown,32793
289,01/12/2013,Asia,Unknown,42185
290,01/12/2014,Asia,Unknown,40889
291,01/12/2015,Asia,Unknown,41463
292,01/12/2016,Asia,Unknown,45404
293,01/12/2017,Asia,Unknown,53131
294,01/12/2018,Asia,Unknown,50576
295,01/12/2019,Asia,Unknown,57155
296,01/12/2020,Asia,Unknown,20699
297,01/02/2010,Asia,Unknown,20777
298,01/02/2011,Asia,Unknown,27600
299,01/02/2012,Asia,Unknown,21149
300,01/02/2013,Asia,Unknown,44791
301,01/02/2014,Asia,Unknown,47694
302,01/02/2015,Asia,Unknown,57810
303,01/02/2016,Asia,Unknown,51112
304,01/02/2017,Asia,Unknown,43019
305,01/02/2018,Asia,Unknown,53327
306,01/02/2019,Asia,Unknown,59047
307,01/02/2020,Asia,Unknown,31785
308,01/01/2010,Asia,Unknown,13243
309,01/01/2011,Asia,Unknown,21228
310,01/01/2012,Asia,Unknown,36429
311,01/01/2013,Asia,Unknown,29774
312,01/01/2014,Asia,Unknown,43957
313,01/01/2015,Asia,Unknown,34531
314,01/01/2016,Asia,Unknown,40133
315,01/01/2017,Asia,Unknown,48579
316,01/01/2018,Asia,Unknown,49130
317,01/01/2019,Asia,Unknown,51613
318,01/01/2020,Asia,Unknown,58762
319,01/07/2010,Asia,Unknown,21654
320,01/07/2011,Asia,Unknown,34106
321,01/07/2012,Asia,Unknown,37606
322,01/07/2013,Asia,Unknown,49319
323,01/07/2014,Asia,Unknown,59130
324,01/07/2015,Asia,Unknown,59137
325,01/07/2016,Asia,Unknown,57871
326,01/07/2017,Asia,Unknown,54520
327,01/07/2018,Asia,Unknown,57352
328,01/07/2019,Asia,Unknown,60212
329,01/07/2020,Asia,Unknown,122
330,01/06/2010,Asia,Unknown,17376
331,01/06/2011,Asia,Unknown,26046
332,01/06/2012,Asia,Unknown,29257
333,01/06/2013,Asia,Unknown,42613
334,01/06/2014,Asia,Unknown,47938
335,01/06/2015,Asia,Unknown,49101
336,01/06/2016,Asia,Unknown,46684
337,01/06/2017,Asia,Unknown,45958
338,01/06/2018,Asia,Unknown,49663
339,01/06/2019,Asia,Unknown,58110
340,01/06/2020,Asia,Unknown,0
341,01/03/2010,Asia,Unknown,14608
342,01/03/2011,Asia,Unknown,18417
343,01/03/2012,Asia,Unknown,16115
344,01/03/2013,Asia,Unknown,30647
345,01/03/2014,Asia,Unknown,39909
346,01/03/2015,Asia,Unknown,42522
347,01/03/2016,Asia,Unknown,39649
348,01/03/2017,Asia,Unknown,38122
349,01/03/2018,Asia,Unknown,36336
350,01/03/2019,Asia,Unknown,49491
351,01/03/2020,Asia,Unknown,10953
352,01/05/2010,Asia,Unknown,20963
353,01/05/2011,Asia,Unknown,26510
354,01/05/2012,Asia,Unknown,26163
355,01/05/2013,Asia,Unknown,37946
356,01/05/2014,Asia,Unknown,48735
357,01/05/2015,Asia,Unknown,50950
358,01/05/2016,Asia,Unknown,46501
359,01/05/2017,Asia,Unknown,47584
360,01/05/2018,Asia,Unknown,42384
361,01/05/2019,Asia,Unknown,54073
362,01/05/2020,Asia,Unknown,4
363,01/11/2010,Asia,Unknown,21634
364,01/11/2011,Asia,Unknown,31203
365,01/11/2012,Asia,Unknown,33088
366,01/11/2013,Asia,Unknown,42348
367,01/11/2014,Asia,Unknown,40214
368,01/11/2015,Asia,Unknown,39544
369,01/11/2016,Asia,Unknown,42091
370,01/11/2017,Asia,Unknown,47363
371,01/11/2018,Asia,Unknown,46954
372,01/11/2019,Asia,Unknown,46243
373,01/11/2020,Asia,Unknown,8558
374,01/10/2010,Asia,Unknown,26104
375,01/10/2011,Asia,Unknown,37262
376,01/10/2012,Asia,Unknown,39222
377,01/10/2013,Asia,Unknown,51598
378,01/10/2014,Asia,Unknown,52724
379,01/10/2015,Asia,Unknown,50127
380,01/10/2016,Asia,Unknown,52482
381,01/10/2017,Asia,Unknown,54974
382,01/10/2018,Asia,Unknown,50903
383,01/10/2019,Asia,Unknown,55839
384,01/10/2020,Asia,Unknown,2127
385,01/09/2010,Asia,Unknown,23129
386,01/09/2011,Asia,Unknown,31236
387,01/09/2012,Asia,Unknown,36678
388,01/09/2013,Asia,Unknown,49179
389,01/09/2014,Asia,Unknown,51230
390,01/09/2015,Asia,Unknown,50302
391,01/09/2016,Asia,Unknown,50095
392,01/09/2017,Asia,Unknown,51532
393,01/09/2018,Asia,Unknown,48950
394,01/09/2019,Asia,Unknown,53026
395,01/09/2020,Asia,Unknown,712
539,01/04/2010,Europe,Unknown,40022
540,01/04/2011,Europe,Unknown,53800
541,01/04/2012,Europe,Unknown,51193
542,01/04/2013,Europe,Unknown,48978
543,01/04/2014,Europe,Unknown,53988
544,01/04/2015,Europe,Unknown,47459
545,01/04/2016,Europe,Unknown,47351
546,01/04/2017,Europe,Unknown,61542
547,01/04/2018,Europe,Unknown,62871
548,01/04/2019,Europe,Unknown,88031
549,01/04/2020,Europe,Unknown,0
550,01/08/2010,Europe,Unknown,38977
551,01/08/2011,Europe,Unknown,39251
552,01/08/2012,Europe,Unknown,35488
553,01/08/2013,Europe,Unknown,36640
554,01/08/2014,Europe,Unknown,38743
555,01/08/2015,Europe,Unknown,39881
556,01/08/2016,Europe,Unknown,43109
557,01/08/2017,Europe,Unknown,47465
558,01/08/2018,Europe,Unknown,52488
559,01/08/2019,Europe,Unknown,59208
560,01/08/2020,Europe,Unknown,3828
561,01/12/2010,Europe,Unknown,50007
562,01/12/2011,Europe,Unknown,52452
563,01/12/2012,Europe,Unknown,51727
564,01/12/2013,Europe,Unknown,53932
565,01/12/2014,Europe,Unknown,52168
566,01/12/2015,Europe,Unknown,64065
567,01/12/2016,Europe,Unknown,61285
568,01/12/2017,Europe,Unknown,74342
569,01/12/2018,Europe,Unknown,82755
570,01/12/2019,Europe,Unknown,93846
571,01/12/2020,Europe,Unknown,63487
572,01/02/2010,Europe,Unknown,52742
573,01/02/2011,Europe,Unknown,55782
574,01/02/2012,Europe,Unknown,57677
575,01/02/2013,Europe,Unknown,54095
576,01/02/2014,Europe,Unknown,55780
577,01/02/2015,Europe,Unknown,54718
578,01/02/2016,Europe,Unknown,60719
579,01/02/2017,Europe,Unknown,67730
580,01/02/2018,Europe,Unknown,79710
581,01/02/2019,Europe,Unknown,93617
582,01/02/2020,Europe,Unknown,102348
583,01/01/2010,Europe,Unknown,51334
584,01/01/2011,Europe,Unknown,54648
585,01/01/2012,Europe,Unknown,54757
586,01/01/2013,Europe,Unknown,52321
587,01/01/2014,Europe,Unknown,52295
588,01/01/2015,Europe,Unknown,52545
589,01/01/2016,Europe,Unknown,55382
590,01/01/2017,Europe,Unknown,64030
591,01/01/2018,Europe,Unknown,76603
592,01/01/2019,Europe,Unknown,83528
593,01/01/2020,Europe,Unknown,94725
594,01/07/2010,Europe,Unknown,30658
595,01/07/2011,Europe,Unknown,31918
596,01/07/2012,Europe,Unknown,32704
597,01/07/2013,Europe,Unknown,32701
598,01/07/2014,Europe,Unknown,33229
599,01/07/2015,Europe,Unknown,34021
600,01/07/2016,Europe,Unknown,37859
601,01/07/2017,Europe,Unknown,42192
602,01/07/2018,Europe,Unknown,47603
603,01/07/2019,Europe,Unknown,53318
604,01/07/2020,Europe,Unknown,1044
605,01/06/2010,Europe,Unknown,23549
606,01/06/2011,Europe,Unknown,25598
607,01/06/2012,Europe,Unknown,23682
608,01/06/2013,Europe,Unknown,24238
609,01/06/2014,Europe,Unknown,26284
610,01/06/2015,Europe,Unknown,24274
611,01/06/2016,Europe,Unknown,25661
612,01/06/2017,Europe,Unknown,29194
613,01/06/2018,Europe,Unknown,30774
614,01/06/2019,Europe,Unknown,37678
615,01/06/2020,Europe,Unknown,1
616,01/03/2010,Europe,Unknown,56661
617,01/03/2011,Europe,Unknown,57898
618,01/03/2012,Europe,Unknown,54629
619,01/03/2013,Europe,Unknown,61204
620,01/03/2014,Europe,Unknown,56995
621,01/03/2015,Europe,Unknown,58918
622,01/03/2016,Europe,Unknown,63842
623,01/03/2017,Europe,Unknown,61927
624,01/03/2018,Europe,Unknown,82383
625,01/03/2019,Europe,Unknown,92474
626,01/03/2020,Europe,Unknown,42015
627,01/05/2010,Europe,Unknown,34085
628,01/05/2011,Europe,Unknown,33941
629,01/05/2012,Europe,Unknown,32600
630,01/05/2013,Europe,Unknown,35167
631,01/05/2014,Europe,Unknown,34544
632,01/05/2015,Europe,Unknown,35403
633,01/05/2016,Europe,Unknown,36279
634,01/05/2017,Europe,Unknown,35739
635,01/05/2018,Europe,Unknown,40056
636,01/05/2019,Europe,Unknown,38519
637,01/05/2020,Europe,Unknown,37
638,01/11/2010,Europe,Unknown,47895
639,01/11/2011,Europe,Unknown,48297
640,01/11/2012,Europe,Unknown,43848
641,01/11/2013,Europe,Unknown,45894
642,01/11/2014,Europe,Unknown,42788
643,01/11/2015,Europe,Unknown,43178
644,01/11/2016,Europe,Unknown,51363
645,01/11/2017,Europe,Unknown,60170
646,01/11/2018,Europe,Unknown,64207
647,01/11/2019,Europe,Unknown,74548
648,01/11/2020,Europe,Unknown,20522
649,01/10/2010,Europe,Unknown,44761
650,01/10/2011,Europe,Unknown,49072
651,01/10/2012,Europe,Unknown,45529
652,01/10/2013,Europe,Unknown,46530
653,01/10/2014,Europe,Unknown,47421
654,01/10/2015,Europe,Unknown,47369
655,01/10/2016,Europe,Unknown,55368
656,01/10/2017,Europe,Unknown,62018
657,01/10/2018,Europe,Unknown,62962
658,01/10/2019,Europe,Unknown,70888
659,01/10/2020,Europe,Unknown,14823
660,01/09/2010,Europe,Unknown,34730
661,01/09/2011,Europe,Unknown,35112
662,01/09/2012,Europe,Unknown,33975
663,01/09/2013,Europe,Unknown,35574
664,01/09/2014,Europe,Unknown,35056
665,01/09/2015,Europe,Unknown,34131
666,01/09/2016,Europe,Unknown,36958
667,01/09/2017,Europe,Unknown,40014
668,01/09/2018,Europe,Unknown,44008
669,01/09/2019,Europe,Unknown,48284
670,01/09/2020,Europe,Unknown,5519
1199,01/04/2010,Oceania,Unknown,1092
1200,01/04/2011,Oceania,Unknown,1469
1201,01/04/2012,Oceania,Unknown,1722
1202,01/04/2013,Oceania,Unknown,1760
1203,01/04/2014,Oceania,Unknown,2442
1204,01/04/2015,Oceania,Unknown,2190
1205,01/04/2016,Oceania,Unknown,2230
1206,01/04/2017,Oceania,Unknown,2924
1207,01/04/2018,Oceania,Unknown,4516
1208,01/04/2019,Oceania,Unknown,4990
1209,01/04/2020,Oceania,Unknown,0
1210,01/08/2010,Oceania,Unknown,880
1211,01/08/2011,Oceania,Unknown,1224
1212,01/08/2012,Oceania,Unknown,1446
1213,01/08/2013,Oceania,Unknown,1575
1214,01/08/2014,Oceania,Unknown,1542
1215,01/08/2015,Oceania,Unknown,1659
1216,01/08/2016,Oceania,Unknown,1969
1217,01/08/2017,Oceania,Unknown,2199
1218,01/08/2018,Oceania,Unknown,3017
1219,01/08/2019,Oceania,Unknown,3191
1220,01/08/2020,Oceania,Unknown,62
1221,01/12/2010,Oceania,Unknown,804
1222,01/12/2011,Oceania,Unknown,1174
1223,01/12/2012,Oceania,Unknown,1334
1224,01/12/2013,Oceania,Unknown,1619
1225,01/12/2014,Oceania,Unknown,1685
1226,01/12/2015,Oceania,Unknown,2144
1227,01/12/2016,Oceania,Unknown,2092
1228,01/12/2017,Oceania,Unknown,2821
1229,01/12/2018,Oceania,Unknown,2971
1230,01/12/2019,Oceania,Unknown,3110
1231,01/12/2020,Oceania,Unknown,728
1232,01/02/2010,Oceania,Unknown,585
1233,01/02/2011,Oceania,Unknown,786
1234,01/02/2012,Oceania,Unknown,986
1235,01/02/2013,Oceania,Unknown,983
1236,01/02/2014,Oceania,Unknown,1072
1237,01/02/2015,Oceania,Unknown,1225
1238,01/02/2016,Oceania,Unknown,1319
1239,01/02/2017,Oceania,Unknown,1657
1240,01/02/2018,Oceania,Unknown,2021
1241,01/02/2019,Oceania,Unknown,2843
1242,01/02/2020,Oceania,Unknown,2260
1243,01/01/2010,Oceania,Unknown,703
1244,01/01/2011,Oceania,Unknown,833
1245,01/01/2012,Oceania,Unknown,1184
1246,01/01/2013,Oceania,Unknown,1530
1247,01/01/2014,Oceania,Unknown,1768
1248,01/01/2015,Oceania,Unknown,1780
1249,01/01/2016,Oceania,Unknown,3536
1250,01/01/2017,Oceania,Unknown,2371
1251,01/01/2018,Oceania,Unknown,3395
1252,01/01/2019,Oceania,Unknown,3503
1253,01/01/2020,Oceania,Unknown,2926
1254,01/07/2010,Oceania,Unknown,1141
1255,01/07/2011,Oceania,Unknown,1542
1256,01/07/2012,Oceania,Unknown,1673
1257,01/07/2013,Oceania,Unknown,1788
1258,01/07/2014,Oceania,Unknown,2150
1259,01/07/2015,Oceania,Unknown,2202
1260,01/07/2016,Oceania,Unknown,2452
1261,01/07/2017,Oceania,Unknown,3057
1262,01/07/2018,Oceania,Unknown,3957
1263,01/07/2019,Oceania,Unknown,4075
1264,01/07/2020,Oceania,Unknown,29
1265,01/06/2010,Oceania,Unknown,917
1266,01/06/2011,Oceania,Unknown,1078
1267,01/06/2012,Oceania,Unknown,1437
1268,01/06/2013,Oceania,Unknown,1742
1269,01/06/2014,Oceania,Unknown,1828
1270,01/06/2015,Oceania,Unknown,2017
1271,01/06/2016,Oceania,Unknown,2186
1272,01/06/2017,Oceania,Unknown,2479
1273,01/06/2018,Oceania,Unknown,2986
1274,01/06/2019,Oceania,Unknown,3062
1275,01/06/2020,Oceania,Unknown,0
1276,01/03/2010,Oceania,Unknown,817
1277,01/03/2011,Oceania,Unknown,1125
1278,01/03/2012,Oceania,Unknown,1292
1279,01/03/2013,Oceania,Unknown,1508
1280,01/03/2014,Oceania,Unknown,1440
1281,01/03/2015,Oceania,Unknown,1633
1282,01/03/2016,Oceania,Unknown,1706
1283,01/03/2017,Oceania,Unknown,2180
1284,01/03/2018,Oceania,Unknown,3257
1285,01/03/2019,Oceania,Unknown,4105
1286,01/03/2020,Oceania,Unknown,1468
1287,01/05/2010,Oceania,Unknown,869
1288,01/05/2011,Oceania,Unknown,1091
1289,01/05/2012,Oceania,Unknown,1221
1290,01/05/2013,Oceania,Unknown,1431
1291,01/05/2014,Oceania,Unknown,1619
1292,01/05/2015,Oceania,Unknown,1866
1293,01/05/2016,Oceania,Unknown,1592
1294,01/05/2017,Oceania,Unknown,2080
1295,01/05/2018,Oceania,Unknown,2907
1296,01/05/2019,Oceania,Unknown,3542
1297,01/05/2020,Oceania,Unknown,0
1298,01/11/2010,Oceania,Unknown,821
1299,01/11/2011,Oceania,Unknown,1015
1300,01/11/2012,Oceania,Unknown,1202
1301,01/11/2013,Oceania,Unknown,1266
1302,01/11/2014,Oceania,Unknown,1373
1303,01/11/2015,Oceania,Unknown,1311
1304,01/11/2016,Oceania,Unknown,1890
1305,01/11/2017,Oceania,Unknown,2703
1306,01/11/2018,Oceania,Unknown,3215
1307,01/11/2019,Oceania,Unknown,3621
1308,01/11/2020,Oceania,Unknown,236
1309,01/10/2010,Oceania,Unknown,958
1310,01/10/2011,Oceania,Unknown,1337
1311,01/10/2012,Oceania,Unknown,1524
1312,01/10/2013,Oceania,Unknown,1580
1313,01/10/2014,Oceania,Unknown,1671
1314,01/10/2015,Oceania,Unknown,1609
1315,01/10/2016,Oceania,Unknown,2078
1316,01/10/2017,Oceania,Unknown,2684
1317,01/10/2018,Oceania,Unknown,4068
1318,01/10/2019,Oceania,Unknown,4146
1319,01/10/2020,Oceania,Unknown,189
1320,01/09/2010,Oceania,Unknown,1169
1321,01/09/2011,Oceania,Unknown,1522
1322,01/09/2012,Oceania,Unknown,1805
1323,01/09/2013,Oceania,Unknown,1979
1324,01/09/2014,Oceania,Unknown,2224
1325,01/09/2015,Oceania,Unknown,2141
1326,01/09/2016,Oceania,Unknown,2658
1327,01/09/2017,Oceania,Unknown,3153
1328,01/09/2018,Oceania,Unknown,4200
