,Latitude,Longitude,Medal Ceremony?,Sport Group,Events Split,Time,Date,Sport,Venue
40,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),09:30:00,2021-07-24,3x3 Basketball,Aomi Urban Sports Park
41,35.64167062421445, 139.79257372832834,False,Gymnastics,Men's Qualification,06:30:00,2021-07-24,Artistic Gymnastics,Ariake Gymnastics Centre
42,35.62426208355979, 139.76843705331703,False,Volleyball,Men's or Women's Preliminaries (3 matches),07:00:00,2021-07-24,Beach Volleyball,Shiokaze Park
43,43.01517544330762, 141.41041300340524,False,Football,Women's Group E: Chile vs Canada,08:30:00,2021-07-24,Football,Sapporo Dome
44,35.69708642863296, 139.79336043405075,False,Boxing,Women's Feather (54-57kg) - Preliminaries - Round of 32,09:00:00,2021-07-24,Boxing,Kokugikan Arena
45,35.69328639505304, 139.74961103902368,False,Martial Arts,Women -48 kg Repechage,09:00:00,2021-07-24,Judo,Nippon Budokan
46,35.6369951864692, 139.63364991415503,False,Equestrian,Dressage Grand Prix Team and Individual Day 1,09:00:00,2021-07-24,Equestrian,Equestrian Park
47,38.33557331725407, 140.95096377309127,False,Football,Women's Group F: China vs Zambia,09:00:00,2021-07-24,Football,Miyagi Stadium
48,35.903408731875246, 139.71816554795595,False,Football,Women's Group G: Sweden vs Australia,09:30:00,2021-07-24,Football,Saitama Stadium
49,35.64977449961884, 140.03645074412134,False,Fencing,Women's Epée Individual Semifinals,10:00:00,2021-07-24,Fencing,Makuhari Messe Hall
50,35.66516093172041, 139.52508181634872,False,Badminton,Men's Singles Group Play Stage,10:00:00,2021-07-24,Badminton,Musashino Forest Sport Plaza
51,35.647754733125474, 139.8195228619168,False,Water Polo,Women's Preliminary Round - Group A: South Africa vs Spain,10:20:00,2021-07-24,Water Polo,Tatsumi Water Polo Centre
52,35.59269081886343, 139.75405101776522,False,Hockey,Men's Pool B: Great Britain vs South Africa,10:30:00,2021-07-24,Hockey,Oi Hockey Stadium
53,35.59269081886343, 139.75405101776522,False,Hockey,Men's Pool B: Canada vs Germany,11:00:00,2021-07-24,Hockey,Oi Hockey Stadium
54,35.64977449961884, 140.03645074412134,False,Martial Arts,Women -49 kg Repechages (2 matches),11:00:00,2021-07-24,Taekwondo,Makuhari Messe Hall
55,35.65154002713155, 139.81526845227876,False,Swimming,Men's 400m Individual Medley - Heats,11:00:00,2021-07-24,Swimming,Tokyo Aquatics Centre
56,35.64167062421445, 139.79257372832834,False,Gymnastics,Men's Qualification,11:30:00,2021-07-24,Artistic Gymnastics,Ariake Gymnastics Centre
57,35.679538129089025, 139.71224149090568,False,Tennis,Men's Singles Round 1,11:30:00,2021-07-24,Table Tennis,Tokyo Metropolitan Gymnasium
58,35.66773432212354, 139.70019944667044,False,Handball,Men's Preliminary Round Group B: Portugal vs Egypt,11:30:00,2021-07-24,Handball,Yoyogi National Stadium
59,35.643512573489566, 139.79473745950065,False,Volleyball,Men's Preliminary Round - Pool A: Poland vs Islamic Rep. of Iran,11:40:00,2021-07-24,Volleyball,Ariake Arena
60,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),13:00:00,2021-07-24,3x3 Basketball,Aomi Urban Sports Park
61,35.44332814187166, 139.64046498472052,False,Baseball,Softball Opening Round: Japan vs Italy,12:00:00,2021-07-24,Softball/Baseball,Yokohama Baseball Stadium
62,35.62426208355979, 139.76843705331703,False,Volleyball,Men's or Women's Preliminaries (3 matches),12:00:00,2021-07-24,Beach Volleyball,Shiokaze Park
63,35.336127096773154, 140.39491001303773,False,Surfing,Men's Round 1,23:00:00,2021-07-25,Surfing,Tsurigasaki Surfing Beach
64,35.643512573489566, 139.79473745950065,False,Volleyball,Women's Preliminary Round - Pool B: ROC vs Italy,01:00:00,2021-07-25,Volleyball,Ariake Arena
65,35.63870992266322, 139.78568228668425,False,Skateboarding,Men's Street Prelims Heats,01:00:00,2021-07-25,Skateboarding,Ariake Urban Sports Park
66,35.7811380207295, 139.58779467064903,False,Shooting,Skeet Women's Qualification - Day 1,01:00:00,2021-07-25,Shooting,Asaka Shooting Range
67,35.7811380207295, 139.58779467064903,False,Shooting,10m Air Pistol Women's Qualification. 10m Air Pistol Women's Finals,01:00:00,2021-07-25,Shooting,Asaka Shooting Range
68,35.60796457817903, 139.8147625026683,False,Rowing,Men's Single Sculls Semifinals E/F,01:00:00,2021-07-25,Rowing,Sea Forest Waterway
69,35.62426208355979, 139.76843705331703,False,Volleyball,Men's or Women's Preliminaries (4 matches),01:00:00,2021-07-25,Beach volleyball,Shiokaze Park
70,35.66773432212354, 139.70019944667044,False,Handball,Women's Preliminary Round Group A: Netherlands vs Japan,01:00:00,2021-07-25,Handball,Yoyogi National Stadium
71,35.64977449961884, 140.03645074412134,False,Fencing,Women's Foil Individual Table of 64,01:00:00,2021-07-25,Fencing,Makuhari Messe Hall
72,35.65025376166539, 139.82892847281852,False,Archery,Women's Team 1/8 Eliminations,01:30:00,2021-07-25,Archery,Yumenoshima Park Archery Field
73,35.59269081886343, 139.75405101776522,False,Hockey,Women's Pool A: Great Britain vs Germany,01:30:00,2021-07-25,Hockey,Oi Hockey Stadium
74,35.679538129089025, 139.71224149090568,False,Tennis,Mixed Doubles Quarterfinals,02:00:00,2021-07-25,Table Tennis,Tokyo Metropolitan Gymnasium
75,35.59269081886343, 139.75405101776522,False,Hockey,Women's Pool B: Australia vs Spain,02:00:00,2021-07-25,Hockey,Oi Hockey Stadium
76,35.895211316703495, 139.6314078235249,False,Basketball,Men's Preliminary Round Group A: Islamic Rep. of Iran vs Winner of Olympic Qualifying Tournament in Victoria(Canada),02:00:00,2021-07-25,Basketball,Saitama Super Arena
77,35.64167062421445, 139.79257372832834,False,Gymnastics,Women's Qualification,02:00:00,2021-07-25,Artistic Gymnastics,Ariake Gymnastics Centre
78,35.647754733125474, 139.8195228619168,False,Water Polo,Men's Preliminary Round - Group A: South Africa vs Italy,02:00:00,2021-07-25,Water Polo,Tatsumi Water Polo Centre
79,35.64977449961884, 140.03645074412134,False,Martial Arts,Women -57 kg Round of 16 (8 matches),02:00:00,2021-07-25,Taekwondo,Makuhari Messe Hall
80,35.66516093172041, 139.52508181634872,False,Badminton,Men's Singles Group Play Stage,02:00:00,2021-07-25,Badminton,Musashino Forest Sport Plaza
81,35.44332814187166, 139.64046498472052,False,Baseball,Softball Opening Round: Australia vs United States,02:00:00,2021-07-25,Softball,Yokohama Baseball Stadium
82,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),02:15:00,2021-07-25,3x3 Basketball,Aomi Urban Sports Park
83,35.65154002713155, 139.81526845227876,False,Swimming,Men's 400m Individual Medley Final,02:30:00,2021-07-25,Swimming,Tokyo Aquatics Centre
84,35.63522638292027, 139.78961039488578,False,Tennis,Men's Singles First Round,03:00:00,2021-07-25,Tennis,Ariake Tennis Park
85,35.69328639505304, 139.74961103902368,False,Martial Arts,Women -78 kg Elimination Rounds,03:00:00,2021-07-25,Judo,Nippon Budokan
86,35.69328639505304, 139.74961103902368,False,Martial Arts,Women -52 kg Elimination Rounds,03:00:00,2021-07-25,Judo,Nippon Budokan
87,35.69708642863296, 139.79336043405075,False,Boxing,Women's Fly (48-51kg) - Preliminaries - Round of 32,03:00:00,2021-07-25,Boxing,Kokugikan Arena
88,35.67697382447295, 139.76380194086386,False,Weightlifting,Men's 61 kg Group B and Men's 67 kg Group B,03:50:00,2021-07-25,Weightlifting,Tokyo International Forum
89,35.29979336326726, 139.48406276201857,False,Sailing,RS:X Men,04:00:00,2021-07-25,Sailing,Enoshima Yacht Harbour
90,35.643601065815034, 139.85504382104045,False,Canoeing,Canoe (C1) Men Heats,05:00:00,2021-07-25,Canoe Slalom,Kasai Canoe Slalom Centre
91,35.372702911045124, 138.92936859906928,False,Cycling,Women's Road Race,05:00:00,2021-07-25,Cycling Road,Fuji international Speedway
92,35.895211316703495, 139.6314078235249,False,Basketball,Men's Preliminary Round Group B,05:40:00,2021-07-25,Basketball,Saitama Super Arena
93,35.65025376166539, 139.82892847281852,False,Archery,Women's: Team Quarterfinals,05:45:00,2021-07-25,Archery,Yumenoshima Park Archery Field
94,35.647754733125474, 139.8195228619168,False,Water Polo,Men's Preliminary Round - Group A: United States vs Japan,06:00:00,2021-07-25,Water Polo,Tatsumi Water Polo Centre
95,35.679538129089025, 139.71224149090568,False,Tennis,Men's Singles Round 2,06:00:00,2021-07-25,Table Tennis,Tokyo Metropolitan Gymnasium
96,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),06:00:00,2021-07-25,3x3 Basketball,Aomi Urban Sports Park
97,35.66773432212354, 139.70019944667044,False,Handball,Women's Preliminary Round Group A: Montenegro vs Angola,06:15:00,2021-07-25,Handball,Yoyogi National Stadium
98,35.643512573489566, 139.79473745950065,False,Volleyball,Women's Preliminary Round - Pool A: Serbia vs Dominican Rep.,06:20:00,2021-07-25,Volleyball,Ariake Arena
99,35.62426208355979, 139.76843705331703,False,Volleyball,Men's or Women's Preliminaries (3 matches),07:00:00,2021-07-25,Beach Volleyball,Shiokaze Park
100,35.65154002713155, 139.81526845227876,False,Diving,Women's Synchronised 3m Springboard Final,07:00:00,2021-07-25,Diving,Tokyo Aquatics Centre
101,35.64167062421445, 139.79257372832834,False,Gymnastics,Women's Qualification,07:10:00,2021-07-25,Artistic Gymnastics,Ariake Gymnastics Centre
102,35.67697382447295, 139.76380194086386,False,Weightlifting,Men's 61 kg Group A,07:50:00,2021-07-25,Weightlifting,Tokyo International Forum
103,43.01517544330762, 141.41041300340524,False,Football,Men's Group C: Egypt vs Argentina,08:30:00,2021-07-25,Football,Sapporo Dome
104,35.69708642863296, 139.79336043405075,False,Boxing,Women's Fly (48-51kg) - Preliminaries - Round of 32,09:00:00,2021-07-25,Boxing,Kokugikan Arena
105,35.69328639505304, 139.74961103902368,False,Martial Arts,Women -78 kg Repechage,09:00:00,2021-07-25,Judo,Nippon Budokan
106,35.6369951864692, 139.63364991415503,False,Equestrian,Dressage Grand Prix Team and Individual Day 2,09:00:00,2021-07-25,Equestrian,Equestrian Park
107,35.69328639505304, 139.74961103902368,False,Martial Arts,Women -52 kg Repechage,09:00:00,2021-07-25,Judo,Nippon Budokan
108,35.903408731875246, 139.71816554795595,False,football,Men's Group A: France vs South Africa,09:00:00,2021-07-25,football,Saitama Stadium
109,35.99213056967567, 140.64152126184229,False,football,Men's Group B: New Zealand vs Honduras,09:00:00,2021-07-25,football,Ibaraki Kashima Stadium
110,35.895211316703495, 139.6314078235249,False,Basketball,Men's Preliminary Round Group B: Australia vs Nigeria,09:20:00,2021-07-25,Basketball,Saitama Super Arena
111,35.51002465197473, 139.60687650162822,False,Football,Men's Group D: Brazil vs Côte d'Ivoire,09:30:00,2021-07-25,Football,International Stadium Yokohama
112,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),09:30:00,2021-07-25,3x3 Basketball,Aomi Urban Sports Park
113,35.66516093172041, 139.52508181634872,False,Badminton,Men's Singles Group Play Stage,10:00:00,2021-07-25,Badminton,Musashino Forest Sport Plaza
114,35.64977449961884, 140.03645074412134,False,Fencing,Women's Foil Individual Semifinals,10:00:00,2021-07-25,Fencing,Makuhari Messe Hall
115,35.647754733125474, 139.8195228619168,False,Water Polo,Men's Preliminary Round - Group B: Serbia vs Spain,10:20:00,2021-07-25,Water Polo,Tatsumi Water Polo Centre
116,35.59269081886343, 139.75405101776522,False,Hockey,Men's Pool A: India vs Australia,10:30:00,2021-07-25,Hockey,Oi Hockey Stadium
117,35.65154002713155, 139.81526845227876,False,Swimming,Women's 100m Backstroke - Heats,11:00:00,2021-07-25,Swimming,Tokyo Aquatics Centre
118,35.59269081886343, 139.75405101776522,False,Hockey,Men's Pool A: Japan vs Argentina,11:00:00,2021-07-25,Hockey,Oi Hockey Stadium
119,35.64977449961884, 140.03645074412134,False,Martial Arts,Women -57 kg Repechages (2 matches),11:00:00,2021-07-25,Taekwondo,Makuhari Messe Hall
120,35.66773432212354, 139.70019944667044,False,Handball,Women's Preliminary Round Group B: Spain vs Sweden,11:30:00,2021-07-25,Handball,Yoyogi National Stadium
121,35.643512573489566, 139.79473745950065,False,Volleyball,Women's Preliminary Round - Pool A: Japan vs Kenya,11:40:00,2021-07-25,Volleyball,Ariake Arena
122,35.67697382447295, 139.76380194086386,False,Weightlifting,Men's 67 kg Group A,11:50:00,2021-07-25,Weightlifting,Tokyo International Forum
123,35.679538129089025, 139.71224149090568,False,Tennis,Mixed Doubles Semifinals,12:00:00,2021-07-25,Table Tennis,Tokyo Metropolitan Gymnasium
124,35.44332814187166, 139.64046498472052,False,Baseball,Softball Opening Round: Italy vs Mexico,12:00:00,2021-07-25,Softball,Yokohama Baseball Stadium
125,35.62426208355979, 139.76843705331703,False,Volleyball,Men's or Women's Preliminaries (3 matches),12:00:00,2021-07-25,Beach Volleyball,Shiokaze Park
126,35.64167062421445, 139.79257372832834,False,Gymnastics,Women's Qualification,12:20:00,2021-07-25,Artistic Gymnastics,Ariake Gymnastics Centre
127,35.895211316703495, 139.6314078235249,False,Basketball,Men's Preliminary Round Group A: France vs United States,13:00:00,2021-07-25,Basketball,Saitama Super Arena
128,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),13:00:00,2021-07-25,3x3 Basketball,Aomi Urban Sports Park
129,35.630141395249126, 139.7762643781928,False,Triathlon,Men,22:30:00,2021-07-26,Triathlon,Odaiba Marine Park
130,35.336127096773154, 140.39491001303773,False,Surfing,Women's Round 3,23:00:00,2021-07-26,Surfing,Tsurigasaki Surfing Beach
131,35.643512573489566, 139.79473745950065,False,Volleyball,Men's Preliminary Round - Pool A: Islamic Rep. of Iran vs Venezuela,01:00:00,2021-07-26,Volleyball,Ariake Arena
132,35.63870992266322, 139.78568228668425,False,Skateboarding,Women's Street Prelims Heats,01:00:00,2021-07-26,Skateboarding,Ariake Urban Sports Park
133,35.7811380207295, 139.58779467064903,False,Shooting,Skeet Women's Qualification - Day 2,01:00:00,2021-07-26,Shooting,Asaka Shooting Range
134,35.66446761779039, 139.52756286092847,False,Rugby,Men's Pool Round (6 matches),01:00:00,2021-07-26,rugby,Tokyo Stadium
135,35.60796457817903, 139.8147625026683,False,Rowing,Women's Single Sculls Quarterfinals,01:00:00,2021-07-26,Rowing,Sea Forest Waterway
136,35.66773432212354, 139.70019944667044,False,Handball,Men's Preliminary Round Group A: Brazil vs France,01:00:00,2021-07-26,Handball,Yoyogi National Stadium
137,35.64977449961884, 140.03645074412134,False,Fencing,Women's Sabre Individual Table of 64,01:00:00,2021-07-26,Fencing,Makuhari Messe Hall
138,35.62426208355979, 139.76843705331703,False,Volleyball,Men's or Women's Preliminaries (4 matches),01:00:00,2021-07-26,Beach Volleyball,Shiokaze Park
139,35.59269081886343, 139.75405101776522,False,Hockey,Men's Pool B: Germany vs Belgium,01:30:00,2021-07-26,Hockey,Oi Hockey Stadium
140,35.65025376166539, 139.82892847281852,False,Archery,Men's Team 1/8 Eliminations,01:30:00,2021-07-26,Archery,Yumenoshima Park Archery Field
141,35.64977449961884, 140.03645074412134,False,Martial Arts,Women -67 kg Round of 16 (8 matches),02:00:00,2021-07-26,Taekwondo,Makuhari Messe Hall
142,35.66516093172041, 139.52508181634872,False,Badminton,Men's Singles Group Play Stage,02:00:00,2021-07-26,Badminton,Musashino Forest Sport Plaza
143,35.679538129089025, 139.71224149090568,False,Tennis,Men's Singles Round 2,02:00:00,2021-07-26,Table Tennis,Tokyo Metropolitan Gymnasium
144,35.59269081886343, 139.75405101776522,False,Hockey,Women's Pool A: Netherlands vs Ireland,02:00:00,2021-07-26,Hockey,Oi Hockey Stadium
145,35.895211316703495, 139.6314078235249,False,Basketball,Women's Preliminary Round Group A: Republic of Korea vs Spain,02:00:00,2021-07-26,Basketball,Saitama Super Arena
146,35.44332814187166, 139.64046498472052,False,Baseball,Softball Opening Round: Japan vs United States,02:00:00,2021-07-26,Softball,Yokohama Baseball Stadium
147,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),02:15:00,2021-07-26,3x3 Basketball,Aomi Urban Sports Park
148,35.65154002713155, 139.81526845227876,False,Swimming,Women's 100m Butterfly Final,02:30:00,2021-07-26,Swimming,Tokyo Aquatics Centre
149,35.69708642863296, 139.79336043405075,False,Boxing,Men's Fly (48-52kg) - Preliminaries - Round of 32,03:00:00,2021-07-26,boxing,Kokugikan Arena
150,35.69328639505304, 139.74961103902368,False,Martial Arts,Women -57 kg Elimination Rounds,03:00:00,2021-07-26,Judo,Nippon Budokan
151,35.63522638292027, 139.78961039488578,False,Tennis,Men's Singles Second Round,03:00:00,2021-07-26,Tennis,Ariake Tennis Park
152,35.29979336326726, 139.48406276201857,False,Sailing,RS:X Men,04:00:00,2021-07-26,Sailing,Enoshima Yacht Harbour
153,35.895211316703495, 139.6314078235249,False,Basketball,Men's Preliminary Round Group C: Argentina vs Winner of Olympic Qualifying Tournament in Kaunas(Lithuania),05:40:00,2021-07-26,Basketball,Saitama Super Arena
154,35.65025376166539, 139.82892847281852,False,Archery,Men's Team Quarterfinals,05:45:00,2021-07-26,Archery,Yumenoshima Park Archery Field
155,35.67697382447295, 139.76380194086386,False,Weightlifting,Women's 55 kg Group B,05:50:00,2021-07-26,Weightlifting,Tokyo International Forum
156,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),06:00:00,2021-07-26,3x3 Basketball,Aomi Urban Sports Park
157,35.643601065815034, 139.85504382104045,False,Canoeing,Canoe (C1) Men Semi-final,06:00:00,2021-07-26,Canoe Slalom,Kasai Canoe Slalom Centre
158,35.647754733125474, 139.8195228619168,False,Water Polo,Women's Preliminary Round - Group B: United States vs China,06:00:00,2021-07-26,Water Polo,Tatsumi Water Polo Centre
159,35.66773432212354, 139.70019944667044,False,Handball,Men's Preliminary Round Group B: Egypt vs Denmark,06:15:00,2021-07-26,Handball,Yoyogi National Stadium
160,35.643512573489566, 139.79473745950065,False,Volleyball,Men's Preliminary Round - Pool A: Poland vs Italy,06:20:00,2021-07-26,Volleyball,Ariake Arena
161,35.679538129089025, 139.71224149090568,False,Tennis,Men's Singles Round 3,06:30:00,2021-07-26,Table Tennis,Tokyo Metropolitan Gymnasium
162,35.62426208355979, 139.76843705331703,False,Volleyball,Men's or Women's Preliminaries (3 matches),07:00:00,2021-07-26,Beach Volleyball,Shiokaze Park
163,35.008554056580564, 139.01269403251226,False,Cycling,Men's Cross-country,07:00:00,2021-07-26,Cycling Mountain Bike,Izu MTB Course
164,35.65154002713155, 139.81526845227876,False,diving,Men's Synchronised 10m Platform Final,07:00:00,2021-07-26,diving,Tokyo Aquatics Centre
165,35.66446761779039, 139.52756286092847,False,Rugby,Men's Pool Round (6 matches),08:30:00,2021-07-26,Rugby,Tokyo Stadium
166,35.69708642863296, 139.79336043405075,False,Boxing,Men's Fly (48-52kg) - Preliminaries - Round of 32,09:00:00,2021-07-26,Boxing,Kokugikan Arena
167,35.69328639505304, 139.74961103902368,False,Martial Arts,Women -57 kg Repechage,09:00:00,2021-07-26,Judo,Nippon Budokan
168,35.895211316703495, 139.6314078235249,False,Basketball,Women's Preliminary Round Group A: Serbia vs Canada,09:20:00,2021-07-26,Basketball,Saitama Super Arena
169,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),09:30:00,2021-07-26,3x3 Basketball,Aomi Urban Sports Park
170,35.66516093172041, 139.52508181634872,False,Badminton,Men's Singles Group Play Stage,10:00:00,2021-07-26,Badminton,Musashino Forest Sport Plaza
171,35.64977449961884, 140.03645074412134,False,Fencing,Women's Sabre Individual Semifinals,10:00:00,2021-07-26,Fencing,Makuhari Messe Hall
172,35.647754733125474, 139.8195228619168,False,Water Polo,Women's Preliminary Round - Group A: Australia vs Netherlands,10:20:00,2021-07-26,Water Polo,Tatsumi Water Polo Centre
173,35.59269081886343, 139.75405101776522,False,Hockey,Women's Pool A: South Africa vs Great Britain,10:30:00,2021-07-26,Hockey,Oi Hockey Stadium
174,35.64167062421445, 139.79257372832834,False,Gymnastics,Men's Team Final,11:00:00,2021-07-26,Artistic Gymnastic,Ariake Gymnastics Centre
175,35.65154002713155, 139.81526845227876,False,Swimming,Women's 200m Freestyle - Heats,11:00:00,2021-07-26,Swimming,Tokyo Aquatics Centre
176,35.64977449961884, 140.03645074412134,False,Martial Arts,Women -67 kg Repechages (2 matches),11:00:00,2021-07-26,Taekwondo,Makuhari Messe Hall
177,35.59269081886343, 139.75405101776522,False,Hockey,Women's Pool B: Argentina vs Spain,11:00:00,2021-07-26,Hockey,Oi Hockey Stadium
178,35.66773432212354, 139.70019944667044,False,Handball,Men's Preliminary Round Group B: Bahrain vs Portugal,11:30:00,2021-07-26,Handball,Yoyogi National Stadium
179,35.643512573489566, 139.79473745950065,False,Volleyball,Men's Preliminary Round - Pool A: Japan vs Canada,11:40:00,2021-07-26,volleyball,Ariake Arena
180,35.67697382447295, 139.76380194086386,False,Weightlifting,Women's 55 kg Group A,11:50:00,2021-07-26,Weightlifting,Tokyo International Forum
181,35.62426208355979, 139.76843705331703,False,Volleyball,Men's or Women's Preliminaries (3 matches),12:00:00,2021-07-26,Beach Volleyball,Shiokaze Park
182,35.679538129089025, 139.71224149090568,False,Tennis,Mixed Doubles Bronze Medal Match,12:00:00,2021-07-26,Table Tennis,Tokyo Metropolitan Gymnasium
183,35.44332814187166, 139.64046498472052,False,Baseball,Softball Opening Round: Mexico vs Australia,12:00:00,2021-07-26,Softball,Yokohama Baseball Stadium
184,35.895211316703495, 139.6314078235249,False,Basketball,Men's Preliminary Round Group C: Japan vs Spain,13:00:00,2021-07-26,Basketball,Saitama Super Arena
185,35.62349586496833, 139.7773659975334,False,Basketball,Women's Pool Round (2 games),13:00:00,2021-07-26,3x3 Basketball,Aomi Urban Sports Park
