,Evolution Group,Number,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type
34,Clefairy,35,Clefairy,323,70,45,48,60,65,35,Clefairy,Clefable,,Moon Stone,Stone
35,Clefable,36,Clefable,473,95,70,73,85,90,60,,,,,
36,Vulpix,37,Vulpix,299,38,41,40,50,65,65,Vulpix,Ninetales,,Fire Stone,Stone
37,Ninetales,38,Ninetales,505,73,76,75,81,100,100,,,,,
38,Jigglypuff,39,Jigglypuff,270,115,45,20,45,25,20,Jigglypuff,Wigglytuff,,Moon Stone,Stone
39,Wigglytuff,40,Wigglytuff,425,140,70,45,75,50,45,,,,,
40,Zubat,41,Zubat,245,40,45,35,30,40,55,Zubat,Golbat,22,,Level
41,Golbat,42,Golbat,455,75,80,70,65,75,90,Golbat,Crobat,,,Happiness
42,Oddish,43,Oddish,320,45,50,55,75,65,30,Oddish,Gloom,21,,Level
43,Gloom,44,Gloom,395,60,65,70,85,75,40,Gloom,Vileplume,,Leaf Stone,Stone
44,Gloom,44,Gloom,395,60,65,70,85,75,40,Gloom,Bellossom,,Sun Stone,Stone
45,Vileplume,45,Vileplume,480,75,80,85,100,90,50,,,,,
46,Paras,46,Paras,285,35,70,55,45,55,25,Paras,Parasect,24,,Level
47,Parasect,47,Parasect,405,60,95,80,60,80,30,,,,,
48,Venonat,48,Venonat,305,60,55,50,40,55,45,Venonat,Venomoth,31,,Level
49,Venomoth,49,Venomoth,450,70,65,60,90,75,90,,,,,
50,Diglett,50,Diglett,265,10,55,25,35,45,95,Diglett,Dugtrio,26,,Level
51,Dugtrio,51,Dugtrio,405,35,80,50,50,70,120,,,,,
52,Meowth,52,Meowth,290,40,45,35,40,40,90,Meowth,Persian,28,,Level
53,Persian,53,Persian,440,65,70,60,65,65,115,,,,,
54,Psyduck,54,Psyduck,320,50,52,48,65,50,55,Psyduck,Golduck,33,,Level
55,Golduck,55,Golduck,500,80,82,78,95,80,85,,,,,
56,Mankey,56,Mankey,305,40,80,35,35,45,70,Mankey,Primeape,28,,Level
57,Primeape,57,Primeape,455,65,105,60,60,70,95,,,,,
58,Growlithe,58,Growlithe,350,55,70,45,70,50,60,Growlithe,Arcanine,,Fire Stone,Stone
59,Arcanine,59,Arcanine,555,90,110,80,100,80,95,,,,,
60,Poliwag,60,Poliwag,300,40,50,40,40,40,90,Poliwag,Poliwhirl,25,,Level
61,Poliwhirl,61,Poliwhirl,385,65,65,65,50,50,90,Poliwhirl,Poliwrath,,Water Stone,Stone
62,Poliwhirl,61,Poliwhirl,385,65,65,65,50,50,90,Poliwhirl,Politoed,,King's Rock,Trade
63,Poliwrath,62,Poliwrath,500,90,85,95,70,90,70,,,,,
64,Abra,63,Abra,310,25,20,15,105,55,90,Abra,Kadabra,16,,Level
65,Abra,64,Kadabra,400,40,35,30,120,70,105,Kadabra,Alakazam,,,Trade
66,Abra,65,Alakazam,490,55,50,45,135,85,120,,,,,
67,Machop,66,Machop,305,70,80,50,35,35,35,Machop,Machoke,28,,Level
68,Machop,67,Machoke,405,80,100,70,50,60,45,Machoke,Machamp,,,Trade
69,Machop,68,Machamp,505,90,130,80,65,85,55,,,,,
70,Bellsprout,69,Bellsprout,300,50,75,35,70,30,40,Bellsprout,Weepinbell,21,,Level
71,Bellsprout,70,Weepinbell,390,65,90,50,85,45,55,Weepinbell,Victreebel,,Leaf Stone,Stone
72,Bellsprout,71,Victreebel,480,80,105,65,100,60,70,,,,,
73,Tentacool,72,Tentacool,335,40,40,35,50,100,70,Tentacool,Tentacruel,30,,Level
74,Tentacruel,73,Tentacruel,515,80,70,65,80,120,100,,,,,
75,Geodude,74,Geodude,300,40,80,100,30,30,20,Geodude,Graveler,25,,Level
76,Geodude,75,Graveler,390,55,95,115,45,45,35,Graveler,Golem,,,Trade
77,Geodude,76,Golem,485,80,110,130,55,65,45,,,,,
78,Ponyta,77,Ponyta,410,50,85,55,65,65,90,Ponyta,Rapidash,40,,Level
79,Rapidash,78,Rapidash,500,65,100,70,80,80,105,,,,,
80,Slowpoke,79,Slowpoke,315,90,65,65,40,40,15,Slowpoke,Slowbro,37,,Level
81,Slowpoke,79,Slowpoke,315,90,65,65,40,40,15,Slowpoke,Slowking,,King's Rock,Trade
82,Slowbro,80,Slowbro,490,95,75,110,100,80,30,,,,,
83,Magnemite,81,Magnemite,325,25,35,70,95,55,45,Magnemite,Magneton,30,,Level
84,Magneton,82,Magneton,465,50,60,95,120,70,70,,,,,
85,Farfetch'd,83,Farfetch'd,352,52,65,55,58,62,60,,,,,
86,Doduo,84,Doduo,310,35,85,45,35,35,75,Doduo,Dodrio,31,,Level
87,Dodrio,85,Dodrio,460,60,110,70,60,60,100,,,,,
88,Seel,86,Seel,325,65,45,55,45,70,45,Seel,Dewgong,34,,Level
89,Dewgong,87,Dewgong,475,90,70,80,70,95,70,,,,,
90,Grimer,88,Grimer,325,80,80,50,40,50,25,Grimer,Muk,38,,Level
91,Muk,89,Muk,500,105,105,75,65,100,50,,,,,
92,Shellder,90,Shellder,305,30,65,100,45,25,40,Shellder,Cloyster,,Water Stone,Stone
93,Cloyster,91,Cloyster,525,50,95,180,85,45,70,,,,,
94,Gastly,92,Gastly,310,30,35,30,100,35,80,Gastly,Haunter,25,,Level
95,Gastly,93,Haunter,405,45,50,45,115,55,95,Haunter,Gengar,,,Trade
96,Gastly,94,Gengar,500,60,65,60,130,75,110,,,,,
97,Onix,95,Onix,385,35,45,160,30,45,70,Onix,Steelix,,Metal Coat,Trade
98,Drowzee,96,Drowzee,328,60,48,45,43,90,42,Drowzee,Hypno,26,,Level
99,Hypno,97,Hypno,483,85,73,70,73,115,67,,,,,
100,Krabby,98,Krabby,325,30,105,90,25,25,50,Krabby,Kingler,28,,Level
101,Kingler,99,Kingler,475,55,130,115,50,50,75,,,,,
102,Voltorb,100,Voltorb,330,40,30,50,55,55,100,Voltorb,Electrode,30,,Level
103,Electrode,101,Electrode,480,60,50,70,80,80,140,,,,,
104,Exeggcute,102,Exeggcute,325,60,40,80,60,45,40,Exeggcute,Exeggutor,,Leaf Stone,Stone
105,Exeggutor,103,Exeggutor,520,95,95,85,125,65,55,,,,,
106,Cubone,104,Cubone,320,50,50,95,40,50,35,Cubone,Marowak,28,,Level
107,Marowak,105,Marowak,425,60,80,110,50,80,45,,,,,
108,Hitmonlee,106,Hitmonlee,455,50,120,53,35,110,87,,,,,
109,Hitmonchan,107,Hitmonchan,455,50,105,79,35,110,76,,,,,
110,Lickitung,108,Lickitung,385,90,55,75,60,75,30,Lickitung,Lickilicky,,after Rollout learned,Other
111,Koffing,109,Koffing,340,40,65,95,60,45,35,Koffing,Weezing,35,,Level
112,Weezing,110,Weezing,490,65,90,120,85,70,60,,,,,
113,Rhyhorn,111,Rhyhorn,345,80,85,95,30,30,25,Rhyhorn,Rhydon,42,,Level
114,Rhydon,112,Rhydon,485,105,130,120,45,45,40,,,,,
115,Chansey,113,Chansey,450,250,5,5,35,105,50,Chansey,Blissey,,,Happiness
116,Tangela,114,Tangela,435,65,55,115,100,40,60,Tangela,Tangrowth,,after AncientPower learned,Other
117,Kangaskhan,115,Kangaskhan,490,105,95,80,40,80,90,,,,,
118,Horsea,116,Horsea,295,30,40,70,70,25,60,Horsea,Seadra,32,,Level
119,Seadra,117,Seadra,440,55,65,95,95,45,85,Seadra,Kingdra,,Dragon Scale,Trade
120,Goldeen,118,Goldeen,320,45,67,60,35,50,63,Goldeen,Seaking,33,,Level
121,Seaking,119,Seaking,450,80,92,65,65,80,68,,,,,
122,Staryu,120,Staryu,340,30,45,55,70,55,85,Staryu,Starmie,,Water Stone,Stone
123,Starmie,121,Starmie,520,60,75,85,100,85,115,,,,,
124,Mr. Mime,122,Mr. Mime,460,40,45,65,100,120,90,,,,,
125,Scyther,123,Scyther,500,70,110,80,55,80,105,Scyther,Scizor,,Metal Coat,Trade
126,Jynx,124,Jynx,455,65,50,35,115,95,95,,,,,
127,Electabuzz,125,Electabuzz,490,65,83,57,95,85,105,,,,,
128,Magmar,126,Magmar,495,65,95,57,100,85,93,,,,,
129,Pinsir,127,Pinsir,500,65,125,100,55,70,85,,,,,
130,Tauros,128,Tauros,490,75,100,95,40,70,110,,,,,
131,Magikarp,129,Magikarp,200,20,10,55,15,20,80,Magikarp,Gyarados,20,,Level
132,Gyarados,130,Gyarados,540,95,125,79,60,100,81,,,,,
133,Lapras,131,Lapras,535,130,85,80,85,95,60,,,,,
134,Ditto,132,Ditto,288,48,48,48,48,48,48,,,,,
135,Eevee,133,Eevee,325,55,55,50,45,65,55,Eevee,Espeon,,Daytime,Happiness
136,Eevee,133,Eevee,325,55,55,50,45,65,55,Eevee,Umbreon,,Nighttime,Happiness
137,Eevee,133,Eevee,325,55,55,50,45,65,55,Eevee,Flareon,,Fire Stone,Stone
138,Eevee,133,Eevee,325,55,55,50,45,65,55,Eevee,Vaporeon,,Water Stone,Stone
139,Eevee,133,Eevee,325,55,55,50,45,65,55,Eevee,Jolteon,,Thunderstone,Stone
140,Vaporeon,134,Vaporeon,525,130,65,60,110,95,65,,,,,
141,Jolteon,135,Jolteon,525,65,65,60,110,95,130,,,,,
142,Flareon,136,Flareon,525,65,130,60,95,110,65,,,,,
143,Porygon,137,Porygon,395,65,60,70,85,75,40,Porygon,Porygon2,,Up-Grade,Trade
144,Omanyte,138,Omanyte,355,35,40,100,90,55,35,Omanyte,Omastar,40,,Level
145,Omastar,139,Omastar,495,70,60,125,115,70,55,,,,,
146,Kabuto,140,Kabuto,355,30,80,90,55,45,55,Kabuto,Kabutops,40,,Level
147,Kabutops,141,Kabutops,495,60,115,105,65,70,80,,,,,
148,Aerodactyl,142,Aerodactyl,515,80,105,65,60,75,130,,,,,
149,Snorlax,143,Snorlax,540,160,110,65,65,110,30,,,,,
150,Articuno,144,Articuno,580,90,85,100,95,125,85,,,,,
151,Zapdos,145,Zapdos,580,90,90,85,125,90,100,,,,,
152,Moltres,146,Moltres,580,90,100,90,125,85,90,,,,,
153,Dratini,147,Dratini,300,41,64,45,50,50,50,Dratini,Dragonair,30,,Level
154,Dratini,148,Dragonair,420,61,84,65,70,70,70,Dragonair,Dragonite,55,,Level
155,Dratini,149,Dragonite,600,91,134,95,100,100,80,,,,,
156,Mewtwo,150,Mewtwo,680,106,110,90,154,90,130,,,,,
157,Mew,151,Mew,600,100,100,100,100,100,100,,,,,
158,Chikorita,152,Chikorita,318,45,49,65,49,65,45,Chikorita,Bayleef,16,,Level
159,Bayleef,153,Bayleef,405,60,62,80,63,80,60,Bayleef,Meganium,32,,Level
160,Cyndaquil,155,Cyndaquil,309,39,52,43,60,50,65,Cyndaquil,Quilava,14,,Level
161,Cyndaquil,156,Quilava,405,58,64,58,80,65,80,Quilava,Typhlosion,36,,Level
162,Cyndaquil,157,Typhlosion,534,78,84,78,109,85,100,,,,,
163,Totodile,158,Totodile,314,50,65,64,44,48,43,Totodile,Croconaw,18,,Level
164,Totodile,159,Croconaw,405,65,80,80,59,63,58,Croconaw,Feraligatr,30,,Level
165,Totodile,160,Feraligatr,530,85,105,100,79,83,78,,,,,
166,Sentret,161,Sentret,215,35,46,34,35,45,20,Sentret,Furret,15,,Level
167,Furret,162,Furret,415,85,76,64,45,55,90,,,,,
168,Hoothoot,163,Hoothoot,262,60,30,30,36,56,50,Hoothoot,Noctowl,20,,Level
169,Noctowl,164,Noctowl,442,100,50,50,76,96,70,,,,,
170,Ledyba,165,Ledyba,265,40,20,30,40,80,55,Ledyba,Ledian,18,,Level
171,Ledian,166,Ledian,390,55,35,50,55,110,85,,,,,
172,Spinarak,167,Spinarak,250,40,60,40,40,40,30,Spinarak,Ariados,22,,Level
173,Ariados,168,Ariados,390,70,90,70,60,60,40,,,,,
174,Crobat,169,Crobat,535,85,90,80,70,80,130,,,,,
175,Chinchou,170,Chinchou,330,75,38,38,56,56,67,Chinchou,Lanturn,27,,Level
176,Lanturn,171,Lanturn,460,125,58,58,76,76,67,,,,,
177,Pichu,172,Pichu,205,20,40,15,35,35,60,Pichu,Pikachu,,,Happiness
178,Cleffa,173,Cleffa,218,50,25,28,45,55,15,Cleffa,Clefairy,,,Happiness
179,Igglybuff,174,Igglybuff,210,90,30,15,40,20,15,Igglybuff,Jigglypuff,,,Happiness
180,Togepi,175,Togepi,245,35,20,65,40,65,20,Togepi,Togetic,,,Happiness
181,Togetic,176,Togetic,405,55,40,85,80,105,40,,,,,
182,Natu,177,Natu,320,40,50,45,70,45,70,Natu,Xatu,25,,Level
183,Xatu,178,Xatu,470,65,75,70,95,70,95,,,,,
184,Mareep,179,Mareep,280,55,40,40,65,45,35,Mareep,Flaaffy,15,,Level
185,Mareep,180,Flaaffy,365,70,55,55,80,60,45,Flaaffy,Ampharos,30,,Level
186,Mareep,181,Ampharos,500,90,75,75,115,90,55,,,,,
187,Bellossom,182,Bellossom,480,75,80,85,90,100,50,,,,,
188,Marill,183,Marill,250,70,20,50,20,50,40,Marill,Azumarill,18,,Level
189,Azumarill,184,Azumarill,410,100,50,80,50,80,50,,,,,
190,Sudowoodo,185,Sudowoodo,410,70,100,115,30,65,30,,,,,
191,Politoed,186,Politoed,500,90,75,75,90,100,70,,,,,
192,Hoppip,187,Hoppip,250,35,35,40,35,55,50,Hoppip,Skiploom,18,,Level
193,Hoppip,188,Skiploom,340,55,45,50,45,65,80,Skiploom,Jumpluff,27,,Level
194,Hoppip,189,Jumpluff,450,75,55,70,55,85,110,,,,,
195,Aipom,190,Aipom,360,55,70,55,40,55,85,Aipom,Ambipom,,after Double Hit learned,Other
196,Sunkern,191,Sunkern,180,30,30,30,30,30,30,Sunkern,Sunflora,,Sun Stone,Stone
197,Sunflora,192,Sunflora,425,75,75,55,105,85,30,,,,,
198,Yanma,193,Yanma,390,65,65,45,75,45,95,Yanma,Yanmega,,after AncientPower learned,Other
199,Wooper,194,Wooper,210,55,45,45,25,25,15,Wooper,Quagsire,20,,Level
200,Quagsire,195,Quagsire,430,95,85,85,65,65,35,,,,,
201,Espeon,196,Espeon,525,65,65,60,130,95,110,,,,,
202,Umbreon,197,Umbreon,525,95,65,110,60,130,65,,,,,
203,Murkrow,198,Murkrow,405,60,85,42,85,42,91,,,,,
204,Slowking,199,Slowking,490,95,75,80,100,110,30,,,,,
205,Misdreavus,200,Misdreavus,435,60,60,60,85,85,85,,,,,
206,Unown,201,Unown,336,48,72,48,72,48,48,,,,,
207,Wobbuffet,202,Wobbuffet,405,190,33,58,33,58,33,,,,,
208,Girafarig,203,Girafarig,455,70,80,65,90,65,85,,,,,
209,Pineco,204,Pineco,290,50,65,90,35,35,15,Pineco,Forretress,31,,Level
210,Forretress,205,Forretress,465,75,90,140,60,60,40,,,,,
211,Dunsparce,206,Dunsparce,415,100,70,70,65,65,45,,,,,
212,Gligar,207,Gligar,430,65,75,105,35,65,85,,,,,
213,Steelix,208,Steelix,510,75,85,200,55,65,30,,,,,
214,Snubbull,209,Snubbull,300,60,80,50,40,40,30,Snubbull,Granbull,23,,Level
215,Granbull,210,Granbull,450,90,120,75,60,60,45,,,,,
216,Qwilfish,211,Qwilfish,430,65,95,75,55,55,85,,,,,
217,Scizor,212,Scizor,500,70,130,100,55,80,65,,,,,
218,Shuckle,213,Shuckle,505,20,10,230,10,230,5,,,,,
219,Heracross,214,Heracross,500,80,125,75,40,95,85,,,,,
220,Sneasel,215,Sneasel,430,55,95,55,35,75,115,,,,,
221,Teddiursa,216,Teddiursa,330,60,80,50,50,50,40,Teddiursa,Ursaring,30,,Level
222,Ursaring,217,Ursaring,500,90,130,75,75,75,55,,,,,
223,Slugma,218,Slugma,250,40,40,40,70,40,20,Slugma,Magcargo,38,,Level
224,Magcargo,219,Magcargo,410,50,50,120,80,80,30,,,,,
225,Swinub,220,Swinub,250,50,50,40,30,30,50,Swinub,Piloswine,33,,Level
226,Piloswine,221,Piloswine,450,100,100,80,60,60,50,Piloswine,Mamoswine,,after AncientPower learned,Other
227,Corsola,222,Corsola,380,55,55,85,65,85,35,,,,,
228,Remoraid,223,Remoraid,300,35,65,35,65,35,65,Remoraid,Octillery,25,,Level
229,Octillery,224,Octillery,480,75,105,75,105,75,45,,,,,
230,Delibird,225,Delibird,330,45,55,45,65,45,75,,,,,
231,Mantine,226,Mantine,465,65,40,70,80,140,70,,,,,
232,Skarmory,227,Skarmory,465,65,80,140,40,70,70,,,,,
233,Houndour,228,Houndour,330,45,60,30,80,50,65,Houndour,Houndoom,24,,Level
234,Houndoom,229,Houndoom,500,75,90,50,110,80,95,,,,,
235,Kingdra,230,Kingdra,540,75,95,95,95,95,85,,,,,
236,Phanpy,231,Phanpy,330,90,60,60,40,40,40,Phanpy,Donphan,25,,Level
237,Donphan,232,Donphan,500,90,120,120,60,60,50,,,,,
238,Porygon2,233,Porygon2,515,85,80,90,105,95,60,,,,,
239,Stantler,234,Stantler,465,73,95,62,85,65,85,,,,,
240,Smeargle,235,Smeargle,250,55,20,35,20,45,75,,,,,
241,Tyrogue,236,Tyrogue,210,35,35,35,35,35,35,Tyrogue,Hitmonlee,20,Attack > Defense,Level
242,Tyrogue,236,Tyrogue,210,35,35,35,35,35,35,Tyrogue,Hitmonchan,20,Attack < Defense,Level
243,Tyrogue,236,Tyrogue,210,35,35,35,35,35,35,Tyrogue,Hitmontop,20,Attack = Defense,Level
244,Hitmontop,237,Hitmontop,455,50,95,95,35,110,70,,,,,
245,Smoochum,238,Smoochum,305,45,30,15,85,65,65,Smoochum,Jynx,30,,Level
246,Elekid,239,Elekid,360,45,63,37,65,55,95,Elekid,Electabuzz,30,,Level
247,Magby,240,Magby,365,45,75,37,70,55,83,Magby,Magmar,30,,Level
248,Miltank,241,Miltank,490,95,80,105,40,70,100,,,,,
249,Blissey,242,Blissey,540,255,10,10,75,135,55,,,,,
250,Raikou,243,Raikou,580,90,85,75,115,100,115,,,,,
251,Entei,244,Entei,580,115,115,85,90,75,100,,,,,
252,Suicune,245,Suicune,580,100,75,115,90,115,85,,,,,
253,Larvitar,246,Larvitar,300,50,64,50,45,50,41,Larvitar,Pupitar,30,,Level
254,Larvitar,247,Pupitar,410,70,84,70,65,70,51,Pupitar,Tyranitar,55,,Level
255,Larvitar,248,Tyranitar,600,100,134,110,95,100,61,,,,,
256,Lugia,249,Lugia,680,106,90,130,90,154,110,,,,,
257,Ho-oh,250,Ho-oh,680,106,130,90,110,154,90,,,,,
258,Celebi,251,Celebi,600,100,100,100,100,100,100,,,,,
259,Treecko,252,Treecko,310,40,45,35,65,55,70,Treecko,Grovyle,16,,Level
260,Treecko,253,Grovyle,405,50,65,45,85,65,95,Grovyle,Sceptile,36,,Level
261,Treecko,254,Sceptile,530,70,85,65,105,85,120,,,,,
262,Torchic,255,Torchic,310,45,60,40,70,50,45,Torchic,Combusken,16,,Level
263,Torchic,256,Combusken,405,60,85,60,85,60,55,Combusken,Blaziken,36,,Level
264,Torchic,257,Blaziken,530,80,120,70,110,70,80,,,,,
265,Mudkip,258,Mudkip,310,50,70,50,50,50,40,Mudkip,Marshtomp,16,,Level
266,Mudkip,259,Marshtomp,405,70,85,70,60,70,50,Marshtomp,Swampert,36,,Level
267,Mudkip,260,Swampert,535,100,110,90,85,90,60,,,,,
268,Poochyena,261,Poochyena,220,35,55,35,30,30,35,Poochyena,Mightyena,18,,Level
269,Mightyena,262,Mightyena,420,70,90,70,60,60,70,,,,,
270,Zigzagoon,263,Zigzagoon,240,38,30,41,30,41,60,Zigzagoon,Linoone,20,,Level
271,Linoone,264,Linoone,420,78,70,61,50,61,100,,,,,
272,Wurmple,265,Wurmple,195,45,45,35,20,30,20,Wurmple,Silcoon,7,"Random, based on personality",Level
273,Wurmple,265,Wurmple,195,45,45,35,20,30,20,Wurmple,Cascoon,7,"Random, based on personality",Level
274,Silcoon,266,Silcoon,205,50,35,55,25,25,15,Silcoon,Beautifly,10,,Level
275,Beautifly,267,Beautifly,385,60,70,50,90,50,65,,,,,
276,Cascoon,268,Cascoon,205,50,35,55,25,25,15,Cascoon,Dustox,10,,Level
277,Dustox,269,Dustox,385,60,50,70,50,90,65,,,,,
278,Lotad,270,Lotad,220,40,30,30,40,50,30,Lotad,Lombre,14,,Level
279,Lotad,271,Lombre,340,60,50,50,60,70,50,Lombre,Ludicolo,,Water Stone,Stone
280,Lotad,272,Ludicolo,480,80,70,70,90,100,70,,,,,
281,Seedot,273,Seedot,220,40,40,50,30,30,30,Seedot,Nuzleaf,14,,Level
282,Seedot,274,Nuzleaf,340,70,70,40,60,40,60,Nuzleaf,Shiftry,,Leaf Stone,Stone
283,Seedot,275,Shiftry,480,90,100,60,90,60,80,,,,,
284,Taillow,276,Taillow,270,40,55,30,30,30,85,Taillow,Swellow,22,,Level
285,Swellow,277,Swellow,430,60,85,60,50,50,125,,,,,
286,Wingull,278,Wingull,270,40,30,30,55,30,85,Wingull,Pelipper,25,,Level
287,Pelipper,279,Pelipper,430,60,50,100,85,70,65,,,,,
288,Ralts,280,Ralts,198,28,25,25,45,35,40,Ralts,Kirlia,20,,Level
289,Kirlia,281,Kirlia,278,38,35,35,65,55,50,Kirlia,Gardevoir,30,,Level
290,Kirlia,281,Kirlia,278,38,35,35,65,55,50,Kirlia,Gallade,,Dawn Stone (Male),Stone
291,Gardevoir,282,Gardevoir,518,68,65,65,125,115,80,,,,,
292,Surskit,283,Surskit,269,40,30,32,50,52,65,Surskit,Masquerain,22,,Level
293,Masquerain,284,Masquerain,414,70,60,62,80,82,60,,,,,
294,Shroomish,285,Shroomish,295,60,40,60,40,60,35,Shroomish,Breloom,23,,Level
295,Breloom,286,Breloom,460,60,130,80,60,60,70,,,,,
296,Slakoth,287,Slakoth,280,60,60,60,35,35,30,Slakoth,Vigoroth,18,,Level
297,Slakoth,288,Vigoroth,440,80,80,80,55,55,90,Vigoroth,Slaking,36,,Level
298,Slakoth,289,Slaking,670,150,160,100,95,65,100,,,,,
299,Nincada,290,Nincada,266,31,45,90,30,30,40,Nincada,Ninjask,20,,Level
300,Nincada,290,Nincada,266,31,45,90,30,30,40,Nincada,Shedinja,20,with empty spot in party,Level
301,Ninjask,291,Ninjask,456,61,90,45,50,50,160,,,,,
302,Shedinja,292,Shedinja,236,1,90,45,30,30,40,,,,,
303,Whismur,293,Whismur,240,64,51,23,51,23,28,Whismur,Loudred,20,,Level
304,Whismur,294,Loudred,360,84,71,43,71,43,48,Loudred,Exploud,40,,Level
305,Whismur,295,Exploud,480,104,91,63,91,63,68,,,,,
306,Makuhita,296,Makuhita,237,72,60,30,20,30,25,Makuhita,Hariyama,24,,Level
307,Hariyama,297,Hariyama,474,144,120,60,40,60,50,,,,,
308,Azurill,298,Azurill,190,50,20,40,20,40,20,Azurill,Marill,,,Happiness
309,Nosepass,299,Nosepass,375,30,45,135,45,90,30,,,,,
310,Skitty,300,Skitty,260,50,45,45,35,35,50,Skitty,Delcatty,,Moon Stone,Stone
311,Delcatty,301,Delcatty,380,70,65,65,55,55,70,,,,,
312,Sableye,302,Sableye,380,50,75,75,65,65,50,,,,,
313,Mawile,303,Mawile,380,50,85,85,55,55,50,,,,,
314,Aron,304,Aron,330,50,70,100,40,40,30,Aron,Lairon,32,,Level
315,Aron,305,Lairon,430,60,90,140,50,50,40,Lairon,Aggron,42,,Level
316,Aron,306,Aggron,530,70,110,180,60,60,50,,,,,
317,Meditite,307,Meditite,280,30,40,55,40,55,60,Meditite,Medicham,37,,Level
318,Medicham,308,Medicham,410,60,60,75,60,75,80,,,,,
319,Electrike,309,Electrike,295,40,45,40,65,40,65,Electrike,Manectric,26,,Level
320,Manectric,310,Manectric,475,70,75,60,105,60,105,,,,,
321,Plusle,311,Plusle,405,60,50,40,85,75,95,,,,,
322,Minun,312,Minun,405,60,40,50,75,85,95,,,,,
323,Volbeat,313,Volbeat,400,65,73,55,47,75,85,,,,,
324,Illumise,314,Illumise,400,65,47,55,73,75,85,,,,,
325,Roselia,315,Roselia,400,50,60,45,100,80,65,,,,,
326,Gulpin,316,Gulpin,302,70,43,53,43,53,40,Gulpin,Swalot,26,,Level
327,Swalot,317,Swalot,467,100,73,83,73,83,55,,,,,
328,Carvanha,318,Carvanha,305,45,90,20,65,20,65,Carvanha,Sharpedo,30,,Level
329,Sharpedo,319,Sharpedo,460,70,120,40,95,40,95,,,,,
330,Wailmer,320,Wailmer,400,130,70,35,70,35,60,Wailmer,Wailord,40,,Level
331,Wailord,321,Wailord,500,170,90,45,90,45,60,,,,,
332,Numel,322,Numel,305,60,60,40,65,45,35,Numel,Camerupt,33,,Level
333,Camerupt,323,Camerupt,460,70,100,70,105,75,40,,,,,
334,Torkoal,324,Torkoal,470,70,85,140,85,70,20,,,,,
